,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_away_from_home,New Cases Per Million People,Total Cases Per Million People
994,13,Detroit,MI,Michigan,26,1749343,2020,9,1,31382,126,1794.0,8.36,-0.0697,72.0,17939.0
1195,21,San Francisco,CA,California,6,881549,2020,9,1,9547,50,1083.0,9.12,-0.257,57.0,10830.0
1396,25,Boston,MA,Massachusetts,25,803907,2020,9,1,23552,80,2930.0,10.3,-0.13,100.0,29297.0
1597,28,Denver,CO,Colorado,8,727211,2020,9,1,11307,42,1555.0,5.28,-0.107,58.0,15548.0
1798,38,Miami,FL,Florida,12,2716940,2020,9,1,159058,2149,5854.0,29.8,-0.14400000000000002,791.0,58543.0
1999,48,Honolulu,HI,Hawaii,15,974563,2020,9,1,7848,157,805.0,21.5,-0.214,161.0,8053.0
189,1,Los Angeles,CA,California,6,10039107,2020,8,31,241768,1019,2408.0,12.6,-0.14400000000000002,102.0,24083.0
390,2,New York City,NY,New York,36,8336817,2020,8,31,238938,261,2866.0,3.27,-0.125,31.0,28661.0
591,7,Dallas,TX,Texas,48,2635516,2020,8,31,74576,891,2830.0,15.8,-0.111,338.0,28297.0
792,9,Seattle,WA,Washington,53,2252782,2020,8,31,19684,111,874.0,5.33,-0.147,49.0,8738.0
993,13,Detroit,MI,Michigan,26,1749343,2020,8,31,31256,78,1787.0,8.7,-0.0697,45.0,17867.0
1194,21,San Francisco,CA,California,6,881549,2020,8,31,9497,66,1077.0,9.04,-0.259,75.0,10773.0
1395,25,Boston,MA,Massachusetts,25,803907,2020,8,31,23472,69,2920.0,10.1,-0.132,86.0,29197.0
1596,28,Denver,CO,Colorado,8,727211,2020,8,31,11265,40,1549.0,6.56,-0.10800000000000001,55.0,15491.0
1797,38,Miami,FL,Florida,12,2716940,2020,8,31,156909,351,5775.0,22.6,-0.14400000000000002,129.0,57752.0
1998,48,Honolulu,HI,Hawaii,15,974563,2020,8,31,7691,107,789.0,22.1,-0.21100000000000002,110.0,7892.0
188,1,Los Angeles,CA,California,6,10039107,2020,8,30,240749,993,2398.0,12.9,-0.14400000000000002,99.0,23981.0
389,2,New York City,NY,New York,36,8336817,2020,8,30,238677,292,2863.0,3.18,-0.126,35.0,28629.0
590,7,Dallas,TX,Texas,48,2635516,2020,8,30,73685,0,2796.0,12,-0.113,0.0,27958.0
791,9,Seattle,WA,Washington,53,2252782,2020,8,30,19573,74,869.0,5.56,-0.147,33.0,8688.0
992,13,Detroit,MI,Michigan,26,1749343,2020,8,30,31178,92,1782.0,9.31,-0.0697,53.0,17823.0
1193,21,San Francisco,CA,California,6,881549,2020,8,30,9431,79,1070.0,9.03,-0.259,90.0,10698.0
1394,25,Boston,MA,Massachusetts,25,803907,2020,8,30,23403,53,2911.0,12.4,-0.134,66.0,29112.0
1595,28,Denver,CO,Colorado,8,727211,2020,8,30,11225,29,1544.0,6.36,-0.11,40.0,15436.0
1796,38,Miami,FL,Florida,12,2716940,2020,8,30,156558,521,5762.0,24,-0.146,192.0,57623.0
1997,48,Honolulu,HI,Hawaii,15,974563,2020,8,30,7584,174,778.0,22.8,-0.209,179.0,7782.0
187,1,Los Angeles,CA,California,6,10039107,2020,8,29,239756,1298,2388.0,12.9,-0.147,129.0,23882.0
388,2,New York City,NY,New York,36,8336817,2020,8,29,238385,278,2859.0,3.17,-0.131,33.0,28594.0
589,7,Dallas,TX,Texas,48,2635516,2020,8,29,73685,801,2796.0,13.8,-0.11,304.0,27958.0
790,9,Seattle,WA,Washington,53,2252782,2020,8,29,19499,119,866.0,5.77,-0.147,53.0,8656.0
991,13,Detroit,MI,Michigan,26,1749343,2020,8,29,31086,106,1777.0,9.86,-0.0697,61.0,17770.0
1192,21,San Francisco,CA,California,6,881549,2020,8,29,9352,134,1061.0,9.04,-0.265,152.0,10609.0
1393,25,Boston,MA,Massachusetts,25,803907,2020,8,29,23350,89,2905.0,11.4,-0.14,111.0,29046.0
1594,28,Denver,CO,Colorado,8,727211,2020,8,29,11196,49,1540.0,6.95,-0.11,67.0,15396.0
1795,38,Miami,FL,Florida,12,2716940,2020,8,29,156037,620,5743.0,25.4,-0.146,228.0,57431.0
1996,48,Honolulu,HI,Hawaii,15,974563,2020,8,29,7410,263,760.0,23.5,-0.204,270.0,7603.0
186,1,Los Angeles,CA,California,6,10039107,2020,8,28,238458,1472,2375.0,13.4,-0.147,147.0,23753.0
387,2,New York City,NY,New York,36,8336817,2020,8,28,238107,269,2856.0,3.15,-0.122,32.0,28561.0
588,7,Dallas,TX,Texas,48,2635516,2020,8,28,72884,257,2765.0,15.3,-0.107,98.0,27655.0
789,9,Seattle,WA,Washington,53,2252782,2020,8,28,19380,184,860.0,5.98,-0.147,82.0,8603.0
990,13,Detroit,MI,Michigan,26,1749343,2020,8,28,30980,135,1771.0,10.9,-0.0672,77.0,17710.0
1191,21,San Francisco,CA,California,6,881549,2020,8,28,9218,66,1046.0,8.31,-0.265,75.0,10457.0
1392,25,Boston,MA,Massachusetts,25,803907,2020,8,28,23261,107,2893.0,10.1,-0.132,133.0,28935.0
1593,28,Denver,CO,Colorado,8,727211,2020,8,28,11147,70,1533.0,7.03,-0.11,96.0,15328.0
1794,38,Miami,FL,Florida,12,2716940,2020,8,28,155417,661,5720.0,26.9,-0.146,243.0,57203.0
1995,48,Honolulu,HI,Hawaii,15,974563,2020,8,28,7147,232,733.0,23.5,-0.196,238.0,7334.0
185,1,Los Angeles,CA,California,6,10039107,2020,8,27,236986,1600,2361.0,13.7,-0.14800000000000002,159.0,23606.0
386,2,New York City,NY,New York,36,8336817,2020,8,27,237838,313,2853.0,3.18,-0.122,38.0,28529.0
587,7,Dallas,TX,Texas,48,2635516,2020,8,27,72627,0,2756.0,17.8,-0.107,0.0,27557.0
788,9,Seattle,WA,Washington,53,2252782,2020,8,27,19196,128,852.0,5.48,-0.15,57.0,8521.0
989,13,Detroit,MI,Michigan,26,1749343,2020,8,27,30845,225,1763.0,9.78,-0.0617,129.0,17632.0
1190,21,San Francisco,CA,California,6,881549,2020,8,27,9152,89,1038.0,8.72,-0.265,101.0,10382.0
1391,25,Boston,MA,Massachusetts,25,803907,2020,8,27,23154,90,2880.0,10.3,-0.132,112.0,28802.0
1592,28,Denver,CO,Colorado,8,727211,2020,8,27,11077,56,1523.0,6.78,-0.109,77.0,15232.0
1793,38,Miami,FL,Florida,12,2716940,2020,8,27,154756,622,5696.0,29.4,-0.147,229.0,56960.0
1994,48,Honolulu,HI,Hawaii,15,974563,2020,8,27,6915,289,710.0,23.1,-0.196,297.0,7095.0
184,1,Los Angeles,CA,California,6,10039107,2020,8,26,235386,1609,2345.0,13.6,-0.14800000000000002,160.0,23447.0
385,2,New York City,NY,New York,36,8336817,2020,8,26,237525,262,2849.0,3.1,-0.12,31.0,28491.0
586,7,Dallas,TX,Texas,48,2635516,2020,8,26,72627,584,2756.0,19.7,-0.106,222.0,27557.0
787,9,Seattle,WA,Washington,53,2252782,2020,8,26,19068,172,846.0,5.83,-0.151,76.0,8464.0
988,13,Detroit,MI,Michigan,26,1749343,2020,8,26,30620,262,1750.0,8.8,-0.0602,150.0,17504.0
1189,21,San Francisco,CA,California,6,881549,2020,8,26,9063,79,1028.0,8.62,-0.265,90.0,10281.0
1390,25,Boston,MA,Massachusetts,25,803907,2020,8,26,23064,91,2869.0,9.83,-0.128,113.0,28690.0
1591,28,Denver,CO,Colorado,8,727211,2020,8,26,11021,-17,1516.0,6.48,-0.109,-23.0,15155.0
1792,38,Miami,FL,Florida,12,2716940,2020,8,26,154134,750,5673.0,31.8,-0.149,276.0,56731.0
1993,48,Honolulu,HI,Hawaii,15,974563,2020,8,26,6626,244,680.0,22.2,-0.19,250.0,6799.0
183,1,Los Angeles,CA,California,6,10039107,2020,8,25,233777,884,2329.0,13.9,-0.14800000000000002,88.0,23287.0
384,2,New York City,NY,New York,36,8336817,2020,8,25,237263,231,2846.0,3.11,-0.12300000000000001,28.0,28460.0
585,7,Dallas,TX,Texas,48,2635516,2020,8,25,72043,381,2734.0,18.7,-0.106,145.0,27335.0
786,9,Seattle,WA,Washington,53,2252782,2020,8,25,18896,53,839.0,5.63,-0.151,24.0,8388.0
987,13,Detroit,MI,Michigan,26,1749343,2020,8,25,30358,167,1735.0,7.63,-0.057,95.0,17354.0
1188,21,San Francisco,CA,California,6,881549,2020,8,25,8984,45,1019.0,8.98,-0.265,51.0,10191.0
1389,25,Boston,MA,Massachusetts,25,803907,2020,8,25,22973,69,2858.0,17,-0.131,86.0,28577.0
1590,28,Denver,CO,Colorado,8,727211,2020,8,25,11038,107,1518.0,7.6,-0.107,147.0,15179.0
1791,38,Miami,FL,Florida,12,2716940,2020,8,25,153384,773,5645.0,33.6,-0.15,285.0,56455.0
1992,48,Honolulu,HI,Hawaii,15,974563,2020,8,25,6382,201,655.0,22,-0.192,206.0,6549.0
182,1,Los Angeles,CA,California,6,10039107,2020,8,24,232893,1198,2320.0,13.9,-0.15,119.0,23199.0
383,2,New York City,NY,New York,36,8336817,2020,8,24,237032,210,2843.0,3.22,-0.12300000000000001,25.0,28432.0
584,7,Dallas,TX,Texas,48,2635516,2020,8,24,71662,184,2719.0,21,-0.106,70.0,27191.0
785,9,Seattle,WA,Washington,53,2252782,2020,8,24,18843,146,836.0,6.34,-0.151,65.0,8364.0
986,13,Detroit,MI,Michigan,26,1749343,2020,8,24,30191,153,1726.0,7.75,-0.057,87.0,17258.0
1187,21,San Francisco,CA,California,6,881549,2020,8,24,8939,65,1014.0,9.56,-0.263,74.0,10140.0
1388,25,Boston,MA,Massachusetts,25,803907,2020,8,24,22904,198,2849.0,15.8,-0.131,246.0,28491.0
1589,28,Denver,CO,Colorado,8,727211,2020,8,24,10931,30,1503.0,6.36,-0.106,41.0,15031.0
1790,38,Miami,FL,Florida,12,2716940,2020,8,24,152611,626,5617.0,34.6,-0.15,230.0,56170.0
1991,48,Honolulu,HI,Hawaii,15,974563,2020,8,24,6181,150,634.0,20.9,-0.192,154.0,6342.0
181,1,Los Angeles,CA,California,6,10039107,2020,8,23,231695,1033,2308.0,13.9,-0.15,103.0,23079.0
382,2,New York City,NY,New York,36,8336817,2020,8,23,236822,288,2841.0,3.26,-0.12300000000000001,35.0,28407.0
583,7,Dallas,TX,Texas,48,2635516,2020,8,23,71478,330,2712.0,30,-0.106,125.0,27121.0
784,9,Seattle,WA,Washington,53,2252782,2020,8,23,18697,108,830.0,6.56,-0.151,48.0,8300.0
985,13,Detroit,MI,Michigan,26,1749343,2020,8,23,30038,159,1717.0,7.37,-0.057,91.0,17171.0
1186,21,San Francisco,CA,California,6,881549,2020,8,23,8874,80,1007.0,9.38,-0.261,91.0,10066.0
1387,25,Boston,MA,Massachusetts,25,803907,2020,8,23,22706,0,2824.0,12.2,-0.133,0.0,28245.0
1588,28,Denver,CO,Colorado,8,727211,2020,8,23,10901,59,1499.0,6.46,-0.10400000000000001,81.0,14990.0
1789,38,Miami,FL,Florida,12,2716940,2020,8,23,151985,772,5594.0,35.1,-0.149,284.0,55940.0
1990,48,Honolulu,HI,Hawaii,15,974563,2020,8,23,6031,225,619.0,21.1,-0.19,231.0,6188.0
180,1,Los Angeles,CA,California,6,10039107,2020,8,22,230662,1608,2298.0,14.1,-0.15,160.0,22976.0
381,2,New York City,NY,New York,36,8336817,2020,8,22,236534,265,2837.0,3.3,-0.133,32.0,28372.0
582,7,Dallas,TX,Texas,48,2635516,2020,8,22,71148,1088,2700.0,57.3,-0.109,413.0,26996.0
783,9,Seattle,WA,Washington,53,2252782,2020,8,22,18589,152,825.0,6.7,-0.14800000000000002,67.0,8252.0
984,13,Detroit,MI,Michigan,26,1749343,2020,8,22,29879,232,1708.0,6.47,-0.0599,133.0,17080.0
1185,21,San Francisco,CA,California,6,881549,2020,8,22,8794,89,998.0,10.3,-0.259,101.0,9976.0
1386,25,Boston,MA,Massachusetts,25,803907,2020,8,22,22706,12,2824.0,12.2,-0.139,15.0,28245.0
1587,28,Denver,CO,Colorado,8,727211,2020,8,22,10842,53,1491.0,6.56,-0.10400000000000001,73.0,14909.0
1788,38,Miami,FL,Florida,12,2716940,2020,8,22,151213,909,5566.0,35.8,-0.149,335.0,55656.0
1989,48,Honolulu,HI,Hawaii,15,974563,2020,8,22,5806,259,596.0,20.8,-0.187,266.0,5958.0
179,1,Los Angeles,CA,California,6,10039107,2020,8,21,229054,1708,2282.0,14.7,-0.152,170.0,22816.0
380,2,New York City,NY,New York,36,8336817,2020,8,21,236269,284,2834.0,3.51,-0.134,34.0,28340.0
581,7,Dallas,TX,Texas,48,2635516,2020,8,21,70060,717,2658.0,55.5,-0.111,272.0,26583.0
782,9,Seattle,WA,Washington,53,2252782,2020,8,21,18437,105,818.0,6.84,-0.146,47.0,8184.0
983,13,Detroit,MI,Michigan,26,1749343,2020,8,21,29647,0,1695.0,6.08,-0.0624,0.0,16948.0
1184,21,San Francisco,CA,California,6,881549,2020,8,21,8705,91,987.0,10.5,-0.254,103.0,9875.0
1385,25,Boston,MA,Massachusetts,25,803907,2020,8,21,22694,117,2823.0,12,-0.141,146.0,28230.0
1586,28,Denver,CO,Colorado,8,727211,2020,8,21,10789,57,1484.0,6.25,-0.10400000000000001,78.0,14836.0
1787,38,Miami,FL,Florida,12,2716940,2020,8,21,150304,1143,5532.0,40.2,-0.151,421.0,55321.0
1988,48,Honolulu,HI,Hawaii,15,974563,2020,8,21,5547,207,569.0,21,-0.185,212.0,5692.0
178,1,Los Angeles,CA,California,6,10039107,2020,8,20,227346,1519,2265.0,15.9,-0.151,151.0,22646.0
379,2,New York City,NY,New York,36,8336817,2020,8,20,235985,271,2831.0,3.64,-0.134,33.0,28306.0
580,7,Dallas,TX,Texas,48,2635516,2020,8,20,69343,349,2631.0,56.6,-0.111,132.0,26311.0
781,9,Seattle,WA,Washington,53,2252782,2020,8,20,18332,183,814.0,7.03,-0.14300000000000002,81.0,8137.0
982,13,Detroit,MI,Michigan,26,1749343,2020,8,20,29647,105,1695.0,7.61,-0.0638,60.0,16948.0
1183,21,San Francisco,CA,California,6,881549,2020,8,20,8614,83,977.0,10.8,-0.249,94.0,9771.0
1384,25,Boston,MA,Massachusetts,25,803907,2020,8,20,22577,66,2808.0,9.95,-0.14300000000000002,82.0,28084.0
1585,28,Denver,CO,Colorado,8,727211,2020,8,20,10732,41,1476.0,6.01,-0.10400000000000001,56.0,14758.0
1786,38,Miami,FL,Florida,12,2716940,2020,8,20,149161,1069,5490.0,43,-0.151,393.0,54900.0
1987,48,Honolulu,HI,Hawaii,15,974563,2020,8,20,5340,229,548.0,21.1,-0.179,235.0,5479.0
177,1,Los Angeles,CA,California,6,10039107,2020,8,19,225827,1796,2249.0,16.5,-0.151,179.0,22495.0
378,2,New York City,NY,New York,36,8336817,2020,8,19,235714,268,2827.0,3.93,-0.138,32.0,28274.0
579,7,Dallas,TX,Texas,48,2635516,2020,8,19,68994,403,2618.0,58.8,-0.113,153.0,26179.0
780,9,Seattle,WA,Washington,53,2252782,2020,8,19,18149,141,806.0,7.3,-0.14300000000000002,63.0,8056.0
981,13,Detroit,MI,Michigan,26,1749343,2020,8,19,29542,118,1689.0,9.2,-0.0653,67.0,16887.0
1182,21,San Francisco,CA,California,6,881549,2020,8,19,8531,101,968.0,11.2,-0.248,115.0,9677.0
1383,25,Boston,MA,Massachusetts,25,803907,2020,8,19,22511,494,2800.0,8.78,-0.146,614.0,28002.0
1584,28,Denver,CO,Colorado,8,727211,2020,8,19,10691,40,1470.0,6.31,-0.10400000000000001,55.0,14701.0
1785,38,Miami,FL,Florida,12,2716940,2020,8,19,148092,1103,5451.0,46.4,-0.151,406.0,54507.0
1986,48,Honolulu,HI,Hawaii,15,974563,2020,8,19,5111,233,524.0,22.8,-0.179,239.0,5244.0
176,1,Los Angeles,CA,California,6,10039107,2020,8,18,224031,900,2232.0,17.4,-0.149,90.0,22316.0
377,2,New York City,NY,New York,36,8336817,2020,8,18,235446,291,2824.0,4.14,-0.138,35.0,28242.0
578,7,Dallas,TX,Texas,48,2635516,2020,8,18,68591,794,2603.0,58.4,-0.114,301.0,26026.0
779,9,Seattle,WA,Washington,53,2252782,2020,8,18,18008,165,799.0,7.35,-0.145,73.0,7994.0
980,13,Detroit,MI,Michigan,26,1749343,2020,8,18,29424,182,1682.0,7.97,-0.0669,104.0,16820.0
1181,21,San Francisco,CA,California,6,881549,2020,8,18,8430,81,956.0,13,-0.24600000000000002,92.0,9563.0
1382,25,Boston,MA,Massachusetts,25,803907,2020,8,18,22017,0,2739.0,0,-0.146,0.0,27387.0
1583,28,Denver,CO,Colorado,8,727211,2020,8,18,10651,44,1465.0,6.52,-0.10400000000000001,61.0,14646.0
1784,38,Miami,FL,Florida,12,2716940,2020,8,18,146989,964,5410.0,62.4,-0.151,355.0,54101.0
1985,48,Honolulu,HI,Hawaii,15,974563,2020,8,18,4878,124,501.0,22.2,-0.179,127.0,5005.0
175,1,Los Angeles,CA,California,6,10039107,2020,8,17,223131,1181,2223.0,18.1,-0.14800000000000002,118.0,22226.0
376,2,New York City,NY,New York,36,8336817,2020,8,17,235155,237,2821.0,4.11,-0.139,28.0,28207.0
577,7,Dallas,TX,Texas,48,2635516,2020,8,17,67797,1854,2572.0,55.8,-0.114,703.0,25724.0
778,9,Seattle,WA,Washington,53,2252782,2020,8,17,17843,181,792.0,6.82,-0.145,80.0,7920.0
979,13,Detroit,MI,Michigan,26,1749343,2020,8,17,29242,106,1672.0,7.71,-0.0669,61.0,16716.0
1180,21,San Francisco,CA,California,6,881549,2020,8,17,8349,54,947.0,11.7,-0.248,61.0,9471.0
1381,25,Boston,MA,Massachusetts,25,803907,2020,8,17,22017,0,2739.0,1.56,-0.146,0.0,27387.0
1582,28,Denver,CO,Colorado,8,727211,2020,8,17,10607,35,1459.0,6.76,-0.10400000000000001,48.0,14586.0
1783,38,Miami,FL,Florida,12,2716940,2020,8,17,146025,719,5375.0,65.2,-0.152,265.0,53746.0
1984,48,Honolulu,HI,Hawaii,15,974563,2020,8,17,4754,163,488.0,22.1,-0.17800000000000002,167.0,4878.0
174,1,Los Angeles,CA,California,6,10039107,2020,8,16,221950,1188,2211.0,19.1,-0.14800000000000002,118.0,22109.0
375,2,New York City,NY,New York,36,8336817,2020,8,16,234918,309,2818.0,4.11,-0.139,37.0,28178.0
576,7,Dallas,TX,Texas,48,2635516,2020,8,16,65943,5361,2502.0,49.1,-0.114,2034.0,25021.0
777,9,Seattle,WA,Washington,53,2252782,2020,8,16,17662,129,784.0,6.61,-0.145,57.0,7840.0
978,13,Detroit,MI,Michigan,26,1749343,2020,8,16,29136,49,1666.0,7.74,-0.0685,28.0,16655.0
1179,21,San Francisco,CA,California,6,881549,2020,8,16,8295,135,941.0,12.1,-0.249,153.0,9410.0
1380,25,Boston,MA,Massachusetts,25,803907,2020,8,16,22017,0,2739.0,2.99,-0.146,0.0,27387.0
1581,28,Denver,CO,Colorado,8,727211,2020,8,16,10572,64,1454.0,6.84,-0.10400000000000001,88.0,14538.0
1782,38,Miami,FL,Florida,12,2716940,2020,8,16,145306,900,5348.0,67.5,-0.152,331.0,53481.0
1983,48,Honolulu,HI,Hawaii,15,974563,2020,8,16,4591,201,471.0,21.7,-0.17600000000000002,206.0,4711.0
173,1,Los Angeles,CA,California,6,10039107,2020,8,15,220762,2069,2199.0,19.9,-0.14800000000000002,206.0,21990.0
374,2,New York City,NY,New York,36,8336817,2020,8,15,234609,386,2814.0,4.01,-0.128,46.0,28141.0
575,7,Dallas,TX,Texas,48,2635516,2020,8,15,60582,764,2299.0,25.4,-0.114,290.0,22987.0
776,9,Seattle,WA,Washington,53,2252782,2020,8,15,17533,174,778.0,6.61,-0.14800000000000002,77.0,7783.0
977,13,Detroit,MI,Michigan,26,1749343,2020,8,15,29087,185,1663.0,7.94,-0.0656,106.0,16627.0
1178,21,San Francisco,CA,California,6,881549,2020,8,15,8160,104,926.0,11.7,-0.247,118.0,9256.0
1379,25,Boston,MA,Massachusetts,25,803907,2020,8,15,22017,0,2739.0,4.25,-0.14,0.0,27387.0
1580,28,Denver,CO,Colorado,8,727211,2020,8,15,10508,37,1445.0,6.58,-0.10099999999999999,51.0,14450.0
1781,38,Miami,FL,Florida,12,2716940,2020,8,15,144406,1745,5315.0,69.4,-0.152,642.0,53150.0
1982,48,Honolulu,HI,Hawaii,15,974563,2020,8,15,4390,273,450.0,20.9,-0.17600000000000002,280.0,4505.0
172,1,Los Angeles,CA,California,6,10039107,2020,8,14,218693,2554,2178.0,20.7,-0.14800000000000002,254.0,21784.0
373,2,New York City,NY,New York,36,8336817,2020,8,14,234223,364,2810.0,3.91,-0.13,44.0,28095.0
574,7,Dallas,TX,Texas,48,2635516,2020,8,14,59818,921,2270.0,24.4,-0.114,349.0,22697.0
775,9,Seattle,WA,Washington,53,2252782,2020,8,14,17359,136,771.0,6.77,-0.153,60.0,7706.0
976,13,Detroit,MI,Michigan,26,1749343,2020,8,14,28902,187,1652.0,7.53,-0.0631,107.0,16522.0
1177,21,San Francisco,CA,California,6,881549,2020,8,14,8056,109,914.0,11.8,-0.249,124.0,9138.0
1378,25,Boston,MA,Massachusetts,25,803907,2020,8,14,22017,0,2739.0,5.33,-0.13699999999999998,0.0,27387.0
1579,28,Denver,CO,Colorado,8,727211,2020,8,14,10471,45,1440.0,6.86,-0.10099999999999999,62.0,14399.0
1780,38,Miami,FL,Florida,12,2716940,2020,8,14,142661,1678,5251.0,69.7,-0.152,618.0,52508.0
1981,48,Honolulu,HI,Hawaii,15,974563,2020,8,14,4117,217,422.0,20.2,-0.17600000000000002,223.0,4224.0
171,1,Los Angeles,CA,California,6,10039107,2020,8,13,216139,1942,2153.0,21.4,-0.149,193.0,21530.0
372,2,New York City,NY,New York,36,8336817,2020,8,13,233859,437,2805.0,3.87,-0.133,52.0,28051.0
573,7,Dallas,TX,Texas,48,2635516,2020,8,13,58897,750,2235.0,22.6,-0.114,285.0,22347.0
774,9,Seattle,WA,Washington,53,2252782,2020,8,13,17223,225,765.0,6.76,-0.154,100.0,7645.0
975,13,Detroit,MI,Michigan,26,1749343,2020,8,13,28715,299,1641.0,6.97,-0.0618,171.0,16415.0
1176,21,San Francisco,CA,California,6,881549,2020,8,13,7947,110,901.0,11.6,-0.252,125.0,9015.0
1377,25,Boston,MA,Massachusetts,25,803907,2020,8,13,22017,0,2739.0,6.86,-0.13699999999999998,0.0,27387.0
1578,28,Denver,CO,Colorado,8,727211,2020,8,13,10426,56,1434.0,7.35,-0.10099999999999999,77.0,14337.0
1779,38,Miami,FL,Florida,12,2716940,2020,8,13,140983,1713,5189.0,70,-0.154,630.0,51890.0
1980,48,Honolulu,HI,Hawaii,15,974563,2020,8,13,3900,342,400.0,19.9,-0.17300000000000001,351.0,4002.0
170,1,Los Angeles,CA,California,6,10039107,2020,8,12,214197,2389,2134.0,23.2,-0.149,238.0,21336.0
371,2,New York City,NY,New York,36,8336817,2020,8,12,233422,392,2800.0,3.69,-0.131,47.0,27999.0
572,7,Dallas,TX,Texas,48,2635516,2020,8,12,58147,322,2206.0,20.8,-0.114,122.0,22063.0
773,9,Seattle,WA,Washington,53,2252782,2020,8,12,16998,149,755.0,6.55,-0.157,66.0,7545.0
974,13,Detroit,MI,Michigan,26,1749343,2020,8,12,28416,-32,1624.0,5.74,-0.0603,-18.0,16244.0
1175,21,San Francisco,CA,California,6,881549,2020,8,12,7837,211,889.0,12.2,-0.253,239.0,8890.0
1376,25,Boston,MA,Massachusetts,25,803907,2020,8,12,22017,0,2739.0,7.78,-0.136,0.0,27387.0
1577,28,Denver,CO,Colorado,8,727211,2020,8,12,10370,51,1426.0,7.9,-0.10099999999999999,70.0,14260.0
1778,38,Miami,FL,Florida,12,2716940,2020,8,12,139270,4141,5126.0,70,-0.154,1524.0,51260.0
1979,48,Honolulu,HI,Hawaii,15,974563,2020,8,12,3558,197,365.0,17.1,-0.171,202.0,3651.0
169,1,Los Angeles,CA,California,6,10039107,2020,8,11,211808,1384,2110.0,23,-0.149,138.0,21098.0
370,2,New York City,NY,New York,36,8336817,2020,8,11,233030,274,2795.0,3.54,-0.128,33.0,27952.0
571,7,Dallas,TX,Texas,48,2635516,2020,8,11,57825,328,2194.0,21.8,-0.114,124.0,21941.0
772,9,Seattle,WA,Washington,53,2252782,2020,8,11,16849,81,748.0,6.66,-0.155,36.0,7479.0
973,13,Detroit,MI,Michigan,26,1749343,2020,8,11,28448,150,1626.0,7.01,-0.0587,86.0,16262.0
1174,21,San Francisco,CA,California,6,881549,2020,8,11,7626,0,865.0,10.3,-0.255,0.0,8651.0
1375,25,Boston,MA,Massachusetts,25,803907,2020,8,11,22017,88,2739.0,9.52,-0.134,109.0,27387.0
1576,28,Denver,CO,Colorado,8,727211,2020,8,11,10319,56,1419.0,8.7,-0.10099999999999999,77.0,14190.0
1777,38,Miami,FL,Florida,12,2716940,2020,8,11,135129,1507,4974.0,54.5,-0.155,555.0,49736.0
1978,48,Honolulu,HI,Hawaii,15,974563,2020,8,11,3361,112,345.0,16.7,-0.16699999999999998,115.0,3449.0
168,1,Los Angeles,CA,California,6,10039107,2020,8,10,210424,1896,2096.0,23.7,-0.149,189.0,20960.0
369,2,New York City,NY,New York,36,8336817,2020,8,10,232756,239,2792.0,3.61,-0.136,29.0,27919.0
570,7,Dallas,TX,Texas,48,2635516,2020,8,10,57497,621,2182.0,24.2,-0.114,236.0,21816.0
771,9,Seattle,WA,Washington,53,2252782,2020,8,10,16768,148,744.0,7.07,-0.155,66.0,7443.0
972,13,Detroit,MI,Michigan,26,1749343,2020,8,10,28298,110,1618.0,7.32,-0.0587,63.0,16176.0
1173,21,San Francisco,CA,California,6,881549,2020,8,10,7626,75,865.0,11.5,-0.255,85.0,8651.0
1374,25,Boston,MA,Massachusetts,25,803907,2020,8,10,21929,80,2728.0,9.79,-0.138,100.0,27278.0
1575,28,Denver,CO,Colorado,8,727211,2020,8,10,10263,39,1411.0,8.84,-0.10099999999999999,54.0,14113.0
1776,38,Miami,FL,Florida,12,2716940,2020,8,10,133622,1162,4918.0,52.5,-0.157,428.0,49181.0
1977,48,Honolulu,HI,Hawaii,15,974563,2020,8,10,3249,138,333.0,17.1,-0.166,142.0,3334.0
167,1,Los Angeles,CA,California,6,10039107,2020,8,9,208528,1767,2077.0,23.3,-0.149,176.0,20772.0
368,2,New York City,NY,New York,36,8336817,2020,8,9,232517,246,2789.0,3.61,-0.136,30.0,27890.0
569,7,Dallas,TX,Texas,48,2635516,2020,8,9,56876,973,2158.0,23.3,-0.114,369.0,21581.0
770,9,Seattle,WA,Washington,53,2252782,2020,8,9,16620,129,738.0,6.92,-0.157,57.0,7378.0
971,13,Detroit,MI,Michigan,26,1749343,2020,8,9,28188,73,1611.0,7.59,-0.057,42.0,16113.0
1172,21,San Francisco,CA,California,6,881549,2020,8,9,7551,116,857.0,11.9,-0.253,132.0,8566.0
1373,25,Boston,MA,Massachusetts,25,803907,2020,8,9,21849,71,2718.0,8.78,-0.13699999999999998,88.0,27179.0
1574,28,Denver,CO,Colorado,8,727211,2020,8,9,10224,51,1406.0,8.76,-0.10099999999999999,70.0,14059.0
1775,38,Miami,FL,Florida,12,2716940,2020,8,9,132460,1244,4875.0,51.4,-0.16,458.0,48753.0
1976,48,Honolulu,HI,Hawaii,15,974563,2020,8,9,3111,147,319.0,18,-0.163,151.0,3192.0
166,1,Los Angeles,CA,California,6,10039107,2020,8,8,206761,2594,2060.0,22.9,-0.152,258.0,20596.0
367,2,New York City,NY,New York,36,8336817,2020,8,8,232271,329,2786.0,3.64,-0.141,39.0,27861.0
568,7,Dallas,TX,Texas,48,2635516,2020,8,8,55903,583,2121.0,28.8,-0.114,221.0,21211.0
