,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_away_from_home,New Cases Per Million People,Total Cases Per Million People
425,7,Dallas,TX,Texas,48,2635516,2020,3,18,34,11,1.29,.168,-0.087,4.0,13.0
626,9,Seattle,WA,Washington,53,2252782,2020,3,18,563,45,25.0,2.08,-0.162,20.0,250.0
827,13,Detroit,MI,Michigan,26,1749343,2020,3,18,23,6,1.31,.18,-0.0745,3.0,13.0
1028,21,San Francisco,CA,California,6,881549,2020,3,18,51,5,5.79,.551,-0.22899999999999998,6.0,58.0
1229,25,Boston,MA,Massachusetts,25,803907,2020,3,18,51,9,6.34,.551,-0.134,11.0,63.0
1430,28,Denver,CO,Colorado,8,727211,2020,3,18,45,4,6.19,.766,-0.1,6.0,62.0
1631,38,Miami,FL,Florida,12,2716940,2020,3,18,77,34,2.83,.4,-0.0831,13.0,28.0
1832,48,Honolulu,HI,Hawaii,15,974563,2020,3,18,10,2,1.03,.117,-0.0701,2.0,10.0
22,1,Los Angeles,CA,California,6,10039107,2020,3,17,144,50,1.43,.176,-0.0888,5.0,14.0
223,2,New York City,NY,New York,36,8336817,2020,3,17,646,182,7.75,1.04,-0.0912,22.0,77.0
424,7,Dallas,TX,Texas,48,2635516,2020,3,17,23,9,0.873,.114,-0.063,3.0,9.0
625,9,Seattle,WA,Washington,53,2252782,2020,3,17,518,29,23.0,2.07,-0.14400000000000002,13.0,230.0
826,13,Detroit,MI,Michigan,26,1749343,2020,3,17,17,4,0.972,.131,-0.0537,2.0,10.0
1027,21,San Francisco,CA,California,6,881549,2020,3,17,46,3,5.22,.47,-0.19399999999999998,3.0,52.0
1228,25,Boston,MA,Massachusetts,25,803907,2020,3,17,42,0,5.22,.391,-0.10300000000000001,0.0,52.0
1429,28,Denver,CO,Colorado,8,727211,2020,3,17,41,13,5.64,.727,-0.0744,18.0,56.0
1630,38,Miami,FL,Florida,12,2716940,2020,3,17,43,20,1.58,.226,-0.0623,7.0,16.0
1831,48,Honolulu,HI,Hawaii,15,974563,2020,3,17,8,2,0.821,.088,-0.051,2.0,8.0
21,1,Los Angeles,CA,California,6,10039107,2020,3,16,94,25,0.9359999999999999,.107,-0.0734,2.0,9.0
222,2,New York City,NY,New York,36,8336817,2020,3,16,464,134,5.57,.761,-0.0705,16.0,56.0
423,7,Dallas,TX,Texas,48,2635516,2020,3,16,14,0,0.531,.0759,-0.0462,0.0,5.0
624,9,Seattle,WA,Washington,53,2252782,2020,3,16,489,68,21.7,2.36,-0.13,30.0,217.0
825,13,Detroit,MI,Michigan,26,1749343,2020,3,16,13,0,0.743,.106,-0.0384,0.0,7.0
1026,21,San Francisco,CA,California,6,881549,2020,3,16,43,6,4.88,.438,-0.161,7.0,49.0
1227,25,Boston,MA,Massachusetts,25,803907,2020,3,16,42,11,5.22,.569,-0.0754,14.0,52.0
1428,28,Denver,CO,Colorado,8,727211,2020,3,16,28,0,3.85,.491,-0.0535,0.0,39.0
1629,38,Miami,FL,Florida,12,2716940,2020,3,16,23,10,0.847,.121,-0.047,4.0,8.0
1830,48,Honolulu,HI,Hawaii,15,974563,2020,3,16,6,2,0.616,.0586,-0.0342,2.0,6.0
20,1,Los Angeles,CA,California,6,10039107,2020,3,15,69,16,0.687,.0783,-0.0548,2.0,7.0
221,2,New York City,NY,New York,36,8336817,2020,3,15,330,61,3.96,.541,-0.0484,7.0,40.0
422,7,Dallas,TX,Texas,48,2635516,2020,3,15,14,3,0.531,.0759,-0.0344,1.0,5.0
623,9,Seattle,WA,Washington,53,2252782,2020,3,15,421,32,18.7,2.09,-0.11800000000000001,14.0,187.0
824,13,Detroit,MI,Michigan,26,1749343,2020,3,15,13,5,0.743,.106,-0.0215,3.0,7.0
1025,21,San Francisco,CA,California,6,881549,2020,3,15,37,6,4.2,.421,-0.141,7.0,42.0
1226,25,Boston,MA,Massachusetts,25,803907,2020,3,15,31,4,3.86,.391,-0.0517,5.0,39.0
1427,28,Denver,CO,Colorado,8,727211,2020,3,15,28,5,3.85,.511,-0.0365,7.0,39.0
1628,38,Miami,FL,Florida,12,2716940,2020,3,15,13,5,0.478,.0684,-0.0334,2.0,5.0
1829,48,Honolulu,HI,Hawaii,15,974563,2020,3,15,4,2,0.41,.0293,-0.0224,2.0,4.0
