,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
1403,25,Boston,MA,Massachusetts,25,803907,2020,9,8,22788,32,2835.0,-13.6,-0.28600000000000003,-0.11699999999999999,0.63,-0.561,-0.44,0.10400000000000001,-0.115
1604,28,Denver,CO,Colorado,8,727211,2020,9,8,11579,22,1592.0,5.34,-0.249,-0.03,0.531,-0.43700000000000006,-0.397,0.0943,-0.10400000000000001
1805,38,Miami,FL,Florida,12,2716940,2020,9,8,162025,389,5964.0,15.6,-0.267,-0.147,-0.34299999999999997,-0.489,-0.34600000000000003,0.111,-0.133
2006,48,Honolulu,HI,Hawaii,15,974563,2020,9,8,9114,114,935.0,18.6,-0.41700000000000004,-0.156,-0.521,-0.61,-0.426,0.17300000000000001,-0.212
196,1,Los Angeles,CA,California,6,10039107,2020,9,7,248821,487,2479.0,10.0,-0.28600000000000003,-0.10099999999999999,0.0042899999999999995,-0.436,-0.42,0.127,-0.151
397,2,New York City,NY,New York,36,8336817,2020,9,7,240919,208,2890.0,3.39,-0.22899999999999998,-0.0677,0.8690000000000001,-0.40700000000000003,-0.447,0.107,-0.11699999999999999
598,7,Dallas,TX,Texas,48,2635516,2020,9,7,76858,0,2916.0,12.4,-0.146,-0.07,0.18600000000000003,-0.344,-0.40399999999999997,0.1,-0.114
799,9,Seattle,WA,Washington,53,2252782,2020,9,7,20339,56,903.0,4.15,-0.231,-0.0886,1.02,-0.49700000000000005,-0.499,0.13,-0.14400000000000002
1000,13,Detroit,MI,Michigan,26,1749343,2020,9,7,32303,320,1847.0,8.55,-0.0743,-0.0371,,-0.32899999999999996,-0.39,0.0643,-0.0687
1201,21,San Francisco,CA,California,6,881549,2020,9,7,9982,64,1132.0,7.86,-0.527,-0.257,-0.00143,-0.639,-0.574,0.2,-0.23199999999999998
1402,25,Boston,MA,Massachusetts,25,803907,2020,9,7,22756,59,2831.0,-12.7,-0.28,-0.109,0.7170000000000001,-0.5710000000000001,-0.467,0.109,-0.12
1603,28,Denver,CO,Colorado,8,727211,2020,9,7,11557,57,1589.0,5.74,-0.231,-0.0129,0.6629999999999999,-0.439,-0.43,0.0929,-0.10400000000000001
1804,38,Miami,FL,Florida,12,2716940,2020,9,7,161636,274,5949.0,24.9,-0.266,-0.141,-0.317,-0.501,-0.387,0.12,-0.14300000000000002
2005,48,Honolulu,HI,Hawaii,15,974563,2020,9,7,9000,89,923.0,19.2,-0.41700000000000004,-0.154,-0.51,-0.623,-0.473,0.18899999999999997,-0.231
195,1,Los Angeles,CA,California,6,10039107,2020,9,6,248334,792,2474.0,10.8,-0.284,-0.10400000000000001,-0.00857,-0.41700000000000004,-0.373,0.11699999999999999,-0.14
396,2,New York City,NY,New York,36,8336817,2020,9,6,240711,295,2887.0,3.49,-0.22399999999999998,-0.0608,0.799,-0.39,-0.41700000000000004,0.102,-0.11199999999999999
597,7,Dallas,TX,Texas,48,2635516,2020,9,6,76858,359,2916.0,17.2,-0.147,-0.0743,0.153,-0.33,-0.36,0.0886,-0.1
798,9,Seattle,WA,Washington,53,2252782,2020,9,6,20283,99,900.0,4.5,-0.23,-0.0914,0.917,-0.49,-0.467,0.127,-0.14
999,13,Detroit,MI,Michigan,26,1749343,2020,9,6,31983,0,1828.0,6.57,-0.0486,-0.0343,,-0.314,-0.34299999999999997,0.0529,-0.0552
1200,21,San Francisco,CA,California,6,881549,2020,9,6,9918,76,1125.0,7.89,-0.537,-0.261,-0.0971,-0.633,-0.556,0.204,-0.237
1401,25,Boston,MA,Massachusetts,25,803907,2020,9,6,22697,74,2823.0,-12.5,-0.276,-0.106,0.637,-0.561,-0.439,0.10300000000000001,-0.113
1602,28,Denver,CO,Colorado,8,727211,2020,9,6,11500,21,1581.0,5.4,-0.22899999999999998,-0.0171,0.6659999999999999,-0.434,-0.389,0.0857,-0.0958
1803,38,Miami,FL,Florida,12,2716940,2020,9,6,161362,345,5939.0,25.3,-0.264,-0.14400000000000002,-0.337,-0.491,-0.344,0.113,-0.134
2004,48,Honolulu,HI,Hawaii,15,974563,2020,9,6,8911,146,914.0,19.5,-0.414,-0.156,-0.52,-0.607,-0.424,0.17300000000000001,-0.212
194,1,Los Angeles,CA,California,6,10039107,2020,9,5,247542,1135,2466.0,11.1,-0.27699999999999997,-0.10099999999999999,0.00571,-0.409,-0.36700000000000005,0.11699999999999999,-0.14
395,2,New York City,NY,New York,36,8336817,2020,9,5,240416,277,2884.0,3.48,-0.22399999999999998,-0.0622,0.8170000000000001,-0.38799999999999996,-0.415,0.102,-0.11199999999999999
596,7,Dallas,TX,Texas,48,2635516,2020,9,5,76499,418,2903.0,15.3,-0.151,-0.0771,0.107,-0.33,-0.35600000000000004,0.0929,-0.109
797,9,Seattle,WA,Washington,53,2252782,2020,9,5,20184,92,896.0,4.34,-0.231,-0.0929,0.8959999999999999,-0.489,-0.46299999999999997,0.129,-0.14300000000000002
998,13,Detroit,MI,Michigan,26,1749343,2020,9,5,31983,133,1828.0,7.33,-0.0471,-0.0371,,-0.307,-0.336,0.0543,-0.0581
1199,21,San Francisco,CA,California,6,881549,2020,9,5,9842,84,1116.0,7.94,-0.551,-0.27,-0.171,-0.644,-0.5529999999999999,0.20600000000000002,-0.24
1400,25,Boston,MA,Massachusetts,25,803907,2020,9,5,22623,94,2814.0,-12.9,-0.276,-0.106,0.649,-0.56,-0.434,0.10300000000000001,-0.113
1601,28,Denver,CO,Colorado,8,727211,2020,9,5,11479,62,1578.0,5.56,-0.22899999999999998,-0.0157,0.6890000000000001,-0.431,-0.38299999999999995,0.0871,-0.0987
1802,38,Miami,FL,Florida,12,2716940,2020,9,5,161017,549,5926.0,26.2,-0.266,-0.141,-0.344,-0.493,-0.341,0.114,-0.13699999999999998
2003,48,Honolulu,HI,Hawaii,15,974563,2020,9,5,8765,190,899.0,19.9,-0.41700000000000004,-0.163,-0.524,-0.607,-0.42100000000000004,0.174,-0.215
193,1,Los Angeles,CA,California,6,10039107,2020,9,4,246407,1408,2454.0,11.3,-0.27399999999999997,-0.10300000000000001,0.0186,-0.40299999999999997,-0.36,0.11699999999999999,-0.14
394,2,New York City,NY,New York,36,8336817,2020,9,4,240139,324,2880.0,3.48,-0.23600000000000002,-0.0701,0.6970000000000001,-0.39899999999999997,-0.41700000000000004,0.109,-0.12300000000000001
595,7,Dallas,TX,Texas,48,2635516,2020,9,4,76081,446,2887.0,17.3,-0.151,-0.0771,0.10300000000000001,-0.327,-0.349,0.0943,-0.111
796,9,Seattle,WA,Washington,53,2252782,2020,9,4,20092,158,892.0,4.52,-0.231,-0.0943,0.9,-0.489,-0.45899999999999996,0.13,-0.146
997,13,Detroit,MI,Michigan,26,1749343,2020,9,4,31850,218,1821.0,7.1,-0.0457,-0.0386,,-0.303,-0.326,0.0543,-0.0581
1198,21,San Francisco,CA,California,6,881549,2020,9,4,9758,59,1107.0,8.75,-0.5589999999999999,-0.273,-0.21600000000000003,-0.65,-0.551,0.21,-0.247
1399,25,Boston,MA,Massachusetts,25,803907,2020,9,4,22529,-64,2802.0,-13.0,-0.29,-0.11900000000000001,0.513,-0.57,-0.43700000000000006,0.11,-0.126
1600,28,Denver,CO,Colorado,8,727211,2020,9,4,11417,51,1570.0,5.3,-0.22899999999999998,-0.02,0.696,-0.436,-0.376,0.0886,-0.10099999999999999
1801,38,Miami,FL,Florida,12,2716940,2020,9,4,160468,491,5906.0,26.6,-0.26899999999999996,-0.14300000000000002,-0.34700000000000003,-0.494,-0.336,0.11599999999999999,-0.14
2002,48,Honolulu,HI,Hawaii,15,974563,2020,9,4,8575,236,880.0,20.9,-0.42100000000000004,-0.17600000000000002,-0.529,-0.611,-0.42,0.17600000000000002,-0.217
192,1,Los Angeles,CA,California,6,10039107,2020,9,3,244999,1064,2440.0,11.4,-0.27899999999999997,-0.109,0.0171,-0.40399999999999997,-0.359,0.11900000000000001,-0.141
393,2,New York City,NY,New York,36,8336817,2020,9,3,239815,303,2877.0,3.39,-0.244,-0.0783,0.664,-0.402,-0.41700000000000004,0.111,-0.126
594,7,Dallas,TX,Texas,48,2635516,2020,9,3,75635,0,2870.0,16.3,-0.156,-0.0814,0.1,-0.33,-0.34700000000000003,0.0971,-0.114
795,9,Seattle,WA,Washington,53,2252782,2020,9,3,19934,96,885.0,4.68,-0.23600000000000002,-0.0986,0.907,-0.493,-0.456,0.13,-0.146
996,13,Detroit,MI,Michigan,26,1749343,2020,9,3,31632,124,1808.0,6.43,-0.0629,-0.0543,,-0.32,-0.326,0.06,-0.0636
1197,21,San Francisco,CA,California,6,881549,2020,9,3,9699,79,1100.0,8.86,-0.564,-0.281,-0.24,-0.653,-0.551,0.21600000000000003,-0.253
1398,25,Boston,MA,Massachusetts,25,803907,2020,9,3,22593,85,2810.0,-9.97,-0.29600000000000004,-0.126,0.514,-0.574,-0.436,0.113,-0.129
1599,28,Denver,CO,Colorado,8,727211,2020,9,3,11366,27,1563.0,5.68,-0.233,-0.0286,0.6609999999999999,-0.446,-0.373,0.0914,-0.10400000000000001
1800,38,Miami,FL,Florida,12,2716940,2020,9,3,159977,578,5888.0,27.5,-0.271,-0.146,-0.349,-0.499,-0.33399999999999996,0.11699999999999999,-0.141
2001,48,Honolulu,HI,Hawaii,15,974563,2020,9,3,8339,190,856.0,20.9,-0.42700000000000005,-0.18600000000000003,-0.53,-0.614,-0.414,0.17600000000000002,-0.217
191,1,Los Angeles,CA,California,6,10039107,2020,9,2,243935,1414,2430.0,12.2,-0.284,-0.114,0.0157,-0.40700000000000003,-0.359,0.12,-0.142
