,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
1763,38,Miami,FL,Florida,12,2716940,2020,7,28,110351,3037,4062.0,109.0,-0.314,-0.177,-0.489,-0.544,-0.34600000000000003,0.14400000000000002,-0.174
1964,48,Honolulu,HI,Hawaii,15,974563,2020,7,28,1419,46,146.0,4.68,-0.331,-0.156,-0.37,-0.596,-0.359,0.146,-0.188
154,1,Los Angeles,CA,California,6,10039107,2020,7,27,176028,2033,1753.0,24.2,-0.32299999999999995,-0.121,-0.0457,-0.40399999999999997,-0.363,0.133,-0.16
355,2,New York City,NY,New York,36,8336817,2020,7,27,228740,295,2744.0,4.03,-0.314,-0.109,0.5870000000000001,-0.446,-0.415,0.126,-0.142
556,7,Dallas,TX,Texas,48,2635516,2020,7,27,47239,426,1792.0,26.8,-0.2,-0.0971,0.113,-0.331,-0.353,0.10400000000000001,-0.12300000000000001
757,9,Seattle,WA,Washington,53,2252782,2020,7,27,14638,186,650.0,8.22,-0.27,-0.106,0.871,-0.49,-0.45399999999999996,0.139,-0.154
958,13,Detroit,MI,Michigan,26,1749343,2020,7,27,26186,77,1497.0,7.64,-0.0814,-0.0486,,-0.3,-0.33,0.0643,-0.0686
1159,21,San Francisco,CA,California,6,881549,2020,7,27,6025,90,683.0,11.6,-0.586,-0.29,-0.196,-0.6729999999999999,-0.537,0.22,-0.256
1360,25,Boston,MA,Massachusetts,25,803907,2020,7,27,20914,18,2602.0,5.21,-0.369,-0.161,0.48,-0.609,-0.439,0.124,-0.138
1561,28,Denver,CO,Colorado,8,727211,2020,7,27,9256,51,1273.0,16.2,-0.26,-0.0571,0.45899999999999996,-0.47700000000000004,-0.377,0.0971,-0.111
1762,38,Miami,FL,Florida,12,2716940,2020,7,27,107314,2560,3950.0,107.0,-0.317,-0.18,-0.506,-0.547,-0.34600000000000003,0.146,-0.17600000000000002
1963,48,Honolulu,HI,Hawaii,15,974563,2020,7,27,1373,28,141.0,4.31,-0.326,-0.14400000000000002,-0.353,-0.593,-0.359,0.14400000000000002,-0.187
153,1,Los Angeles,CA,California,6,10039107,2020,7,26,173995,1670,1733.0,25.8,-0.324,-0.12,-0.0429,-0.40399999999999997,-0.363,0.133,-0.16
354,2,New York City,NY,New York,36,8336817,2020,7,26,228445,225,2740.0,4.01,-0.317,-0.111,0.5770000000000001,-0.44799999999999995,-0.41600000000000004,0.128,-0.14400000000000002
555,7,Dallas,TX,Texas,48,2635516,2020,7,26,46813,800,1776.0,30.1,-0.201,-0.0971,0.106,-0.331,-0.353,0.10400000000000001,-0.12300000000000001
756,9,Seattle,WA,Washington,53,2252782,2020,7,26,14452,178,642.0,8.19,-0.271,-0.106,0.867,-0.49,-0.45399999999999996,0.14,-0.156
957,13,Detroit,MI,Michigan,26,1749343,2020,7,26,26109,207,1493.0,7.75,-0.0743,-0.0429,,-0.299,-0.33,0.0614,-0.0652
1158,21,San Francisco,CA,California,6,881549,2020,7,26,5935,145,673.0,11.8,-0.5870000000000001,-0.29100000000000004,-0.2,-0.6709999999999999,-0.537,0.22,-0.256
1359,25,Boston,MA,Massachusetts,25,803907,2020,7,26,20896,69,2599.0,5.24,-0.369,-0.16,0.48,-0.609,-0.439,0.126,-0.139
1560,28,Denver,CO,Colorado,8,727211,2020,7,26,9205,104,1266.0,16.4,-0.26,-0.0529,0.45,-0.47600000000000003,-0.376,0.0971,-0.111
1761,38,Miami,FL,Florida,12,2716940,2020,7,26,104754,2901,3856.0,108.0,-0.319,-0.179,-0.51,-0.5489999999999999,-0.344,0.147,-0.177
1962,48,Honolulu,HI,Hawaii,15,974563,2020,7,26,1345,54,138.0,4.1,-0.32,-0.131,-0.336,-0.581,-0.341,0.136,-0.177
152,1,Los Angeles,CA,California,6,10039107,2020,7,25,172325,3568,1717.0,27.4,-0.326,-0.11900000000000001,-0.0457,-0.406,-0.363,0.133,-0.16
353,2,New York City,NY,New York,36,8336817,2020,7,25,228220,338,2737.0,4.15,-0.321,-0.113,0.574,-0.45,-0.41700000000000004,0.129,-0.146
554,7,Dallas,TX,Texas,48,2635516,2020,7,25,46013,1267,1746.0,31.4,-0.203,-0.0957,0.0914,-0.33399999999999996,-0.353,0.106,-0.126
755,9,Seattle,WA,Washington,53,2252782,2020,7,25,14274,208,634.0,8.12,-0.273,-0.106,0.867,-0.491,-0.456,0.14,-0.156
956,13,Detroit,MI,Michigan,26,1749343,2020,7,25,25902,108,1481.0,6.75,-0.0843,-0.05,,-0.304,-0.33299999999999996,0.0643,-0.0711
1157,21,San Francisco,CA,California,6,881549,2020,7,25,5790,108,657.0,10.9,-0.589,-0.29100000000000004,-0.213,-0.6729999999999999,-0.537,0.221,-0.259
1358,25,Boston,MA,Massachusetts,25,803907,2020,7,25,20827,34,2591.0,4.83,-0.373,-0.16399999999999998,0.469,-0.609,-0.439,0.127,-0.142
1559,28,Denver,CO,Colorado,8,727211,2020,7,25,9101,162,1251.0,15.3,-0.26,-0.0529,0.45299999999999996,-0.479,-0.374,0.0971,-0.111
1760,38,Miami,FL,Florida,12,2716940,2020,7,25,101853,3424,3749.0,110.0,-0.32,-0.177,-0.513,-0.5489999999999999,-0.34299999999999997,0.147,-0.177
1961,48,Honolulu,HI,Hawaii,15,974563,2020,7,25,1291,66,132.0,3.68,-0.271,-0.10300000000000001,-0.264,-0.551,-0.31,0.12,-0.145
151,1,Los Angeles,CA,California,6,10039107,2020,7,24,168757,1909,1681.0,26.2,-0.327,-0.11699999999999999,-0.0486,-0.406,-0.363,0.134,-0.162
352,2,New York City,NY,New York,36,8336817,2020,7,24,227882,365,2733.0,4.23,-0.324,-0.115,0.5670000000000001,-0.452,-0.41700000000000004,0.129,-0.147
553,7,Dallas,TX,Texas,48,2635516,2020,7,24,44746,659,1698.0,30.1,-0.203,-0.0943,0.0757,-0.33399999999999996,-0.35100000000000003,0.106,-0.126
754,9,Seattle,WA,Washington,53,2252782,2020,7,24,14066,229,624.0,7.97,-0.27399999999999997,-0.106,0.8759999999999999,-0.49,-0.45399999999999996,0.139,-0.154
955,13,Detroit,MI,Michigan,26,1749343,2020,7,24,25794,121,1474.0,6.98,-0.0871,-0.05,,-0.307,-0.331,0.0643,-0.0711
1156,21,San Francisco,CA,California,6,881549,2020,7,24,5682,115,645.0,11.4,-0.59,-0.29100000000000004,-0.226,-0.674,-0.536,0.223,-0.262
1357,25,Boston,MA,Massachusetts,25,803907,2020,7,24,20793,61,2586.0,5.22,-0.376,-0.16699999999999998,0.469,-0.61,-0.439,0.129,-0.145
1558,28,Denver,CO,Colorado,8,727211,2020,7,24,8939,130,1229.0,13.5,-0.261,-0.0514,0.47,-0.47700000000000004,-0.373,0.0957,-0.10800000000000001
1759,38,Miami,FL,Florida,12,2716940,2020,7,24,98429,3362,3623.0,108.0,-0.327,-0.183,-0.539,-0.556,-0.34600000000000003,0.153,-0.187
1960,48,Honolulu,HI,Hawaii,15,974563,2020,7,24,1225,58,126.0,2.93,-0.27,-0.11699999999999999,-0.244,-0.551,-0.31,0.11699999999999999,-0.14
150,1,Los Angeles,CA,California,6,10039107,2020,7,23,166848,1978,1662.0,27.6,-0.327,-0.11599999999999999,-0.0471,-0.406,-0.364,0.134,-0.162
351,2,New York City,NY,New York,36,8336817,2020,7,23,227517,387,2729.0,4.24,-0.322,-0.11199999999999999,0.583,-0.451,-0.418,0.129,-0.146
552,7,Dallas,TX,Texas,48,2635516,2020,7,23,44087,648,1673.0,33.0,-0.204,-0.0929,0.0729,-0.336,-0.353,0.107,-0.127
753,9,Seattle,WA,Washington,53,2252782,2020,7,23,13837,176,614.0,7.88,-0.276,-0.10400000000000001,0.8590000000000001,-0.49,-0.456,0.139,-0.154
954,13,Detroit,MI,Michigan,26,1749343,2020,7,23,25673,129,1468.0,7.26,-0.0886,-0.0486,,-0.306,-0.33299999999999996,0.0643,-0.0711
1155,21,San Francisco,CA,California,6,881549,2020,7,23,5567,105,632.0,11.4,-0.5870000000000001,-0.287,-0.21100000000000002,-0.6729999999999999,-0.536,0.223,-0.262
1356,25,Boston,MA,Massachusetts,25,803907,2020,7,23,20732,54,2579.0,5.1,-0.381,-0.17300000000000001,0.431,-0.611,-0.441,0.131,-0.14800000000000002
1557,28,Denver,CO,Colorado,8,727211,2020,7,23,8809,159,1211.0,12.7,-0.261,-0.0486,0.467,-0.479,-0.373,0.0957,-0.10800000000000001
1758,38,Miami,FL,Florida,12,2716940,2020,7,23,95067,2723,3499.0,103.0,-0.33,-0.18600000000000003,-0.551,-0.5589999999999999,-0.34600000000000003,0.156,-0.19
1959,48,Honolulu,HI,Hawaii,15,974563,2020,7,23,1167,50,120.0,2.42,-0.276,-0.136,-0.237,-0.5529999999999999,-0.31,0.11699999999999999,-0.14
149,1,Los Angeles,CA,California,6,10039107,2020,7,22,164870,3197,1642.0,31.1,-0.327,-0.114,-0.0486,-0.406,-0.364,0.134,-0.162
350,2,New York City,NY,New York,36,8336817,2020,7,22,227130,351,2724.0,4.23,-0.319,-0.11,0.629,-0.45,-0.419,0.128,-0.146
551,7,Dallas,TX,Texas,48,2635516,2020,7,22,43439,413,1648.0,35.1,-0.204,-0.09,0.0629,-0.336,-0.354,0.109,-0.129
752,9,Seattle,WA,Washington,53,2252782,2020,7,22,13661,173,606.0,8.28,-0.27399999999999997,-0.1,0.877,-0.49,-0.456,0.139,-0.154
953,13,Detroit,MI,Michigan,26,1749343,2020,7,22,25544,110,1460.0,8.13,-0.0957,-0.0543,,-0.316,-0.336,0.0686,-0.0754
1154,21,San Francisco,CA,California,6,881549,2020,7,22,5462,96,620.0,12.4,-0.5870000000000001,-0.28600000000000003,-0.21899999999999997,-0.6729999999999999,-0.537,0.22399999999999998,-0.263
1355,25,Boston,MA,Massachusetts,25,803907,2020,7,22,20678,28,2572.0,4.74,-0.373,-0.16399999999999998,0.494,-0.609,-0.441,0.129,-0.145
1556,28,Denver,CO,Colorado,8,727211,2020,7,22,8650,118,1189.0,10.8,-0.263,-0.0486,0.44299999999999995,-0.479,-0.374,0.0957,-0.10800000000000001
1757,38,Miami,FL,Florida,12,2716940,2020,7,22,92344,2788,3399.0,105.0,-0.326,-0.177,-0.5329999999999999,-0.556,-0.344,0.154,-0.18899999999999997
1958,48,Honolulu,HI,Hawaii,15,974563,2020,7,22,1117,17,115.0,1.92,-0.281,-0.151,-0.23399999999999999,-0.5529999999999999,-0.311,0.11699999999999999,-0.14
148,1,Los Angeles,CA,California,6,10039107,2020,7,21,161673,2628,1610.0,30.4,-0.327,-0.113,-0.0514,-0.40399999999999997,-0.364,0.136,-0.16399999999999998
349,2,New York City,NY,New York,36,8336817,2020,7,21,226779,391,2720.0,4.26,-0.31,-0.0994,0.693,-0.446,-0.418,0.126,-0.14300000000000002
550,7,Dallas,TX,Texas,48,2635516,2020,7,21,43026,734,1633.0,38.6,-0.203,-0.0857,0.0571,-0.33399999999999996,-0.354,0.109,-0.129
751,9,Seattle,WA,Washington,53,2252782,2020,7,21,13488,147,599.0,7.88,-0.271,-0.0943,0.96,-0.48700000000000004,-0.456,0.139,-0.154
952,13,Detroit,MI,Michigan,26,1749343,2020,7,21,25434,183,1454.0,9.31,-0.0929,-0.05,,-0.313,-0.336,0.0671,-0.0738
1153,21,San Francisco,CA,California,6,881549,2020,7,21,5366,58,609.0,11.7,-0.5870000000000001,-0.28600000000000003,-0.221,-0.6729999999999999,-0.537,0.22399999999999998,-0.263
1354,25,Boston,MA,Massachusetts,25,803907,2020,7,21,20650,29,2569.0,4.69,-0.369,-0.161,0.521,-0.607,-0.441,0.127,-0.14300000000000002
1555,28,Denver,CO,Colorado,8,727211,2020,7,21,8532,103,1173.0,10.2,-0.261,-0.0457,0.457,-0.47700000000000004,-0.373,0.0943,-0.107
1756,38,Miami,FL,Florida,12,2716940,2020,7,21,89556,2522,3296.0,104.0,-0.32299999999999995,-0.17,-0.516,-0.5529999999999999,-0.34299999999999997,0.153,-0.187
1957,48,Honolulu,HI,Hawaii,15,974563,2020,7,21,1100,21,113.0,2.05,-0.28300000000000003,-0.154,-0.22699999999999998,-0.551,-0.311,0.11699999999999999,-0.14
147,1,Los Angeles,CA,California,6,10039107,2020,7,20,159045,3158,1584.0,32.6,-0.326,-0.11,-0.0557,-0.40399999999999997,-0.363,0.136,-0.16399999999999998
348,2,New York City,NY,New York,36,8336817,2020,7,20,226388,284,2716.0,4.13,-0.308,-0.0929,0.706,-0.445,-0.418,0.125,-0.14300000000000002
549,7,Dallas,TX,Texas,48,2635516,2020,7,20,42292,1026,1605.0,40.0,-0.203,-0.0829,0.05,-0.33399999999999996,-0.354,0.11,-0.13
750,9,Seattle,WA,Washington,53,2252782,2020,7,20,13341,180,592.0,7.86,-0.273,-0.0957,0.96,-0.484,-0.456,0.14,-0.155
951,13,Detroit,MI,Michigan,26,1749343,2020,7,20,25251,91,1443.0,9.4,-0.0914,-0.0486,,-0.311,-0.336,0.0671,-0.0738
1152,21,San Francisco,CA,California,6,881549,2020,7,20,5308,103,602.0,11.6,-0.586,-0.28300000000000003,-0.22,-0.6709999999999999,-0.536,0.22399999999999998,-0.263
1353,25,Boston,MA,Massachusetts,25,803907,2020,7,20,20621,20,2565.0,4.96,-0.373,-0.163,0.47,-0.607,-0.441,0.13,-0.146
1554,28,Denver,CO,Colorado,8,727211,2020,7,20,8429,58,1159.0,9.37,-0.264,-0.0471,0.419,-0.47700000000000004,-0.374,0.0943,-0.107
1755,38,Miami,FL,Florida,12,2716940,2020,7,20,87034,2797,3203.0,102.0,-0.321,-0.166,-0.503,-0.55,-0.34299999999999997,0.151,-0.18600000000000003
1956,48,Honolulu,HI,Hawaii,15,974563,2020,7,20,1079,14,111.0,2.01,-0.28600000000000003,-0.157,-0.233,-0.5529999999999999,-0.313,0.11900000000000001,-0.141
146,1,Los Angeles,CA,California,6,10039107,2020,7,19,155887,2846,1553.0,31.8,-0.321,-0.107,-0.0643,-0.40399999999999997,-0.361,0.136,-0.16399999999999998
347,2,New York City,NY,New York,36,8336817,2020,7,19,226104,305,2712.0,4.08,-0.305,-0.0829,0.72,-0.442,-0.41700000000000004,0.125,-0.142
548,7,Dallas,TX,Texas,48,2635516,2020,7,19,41266,1044,1566.0,40.5,-0.203,-0.08,0.0386,-0.33399999999999996,-0.354,0.111,-0.132
749,9,Seattle,WA,Washington,53,2252782,2020,7,19,13161,168,584.0,7.7,-0.273,-0.0986,0.946,-0.484,-0.45399999999999996,0.14,-0.155
950,13,Detroit,MI,Michigan,26,1749343,2020,7,19,25160,85,1438.0,9.31,-0.0929,-0.0486,,-0.311,-0.33399999999999996,0.0686,-0.0755
1151,21,San Francisco,CA,California,6,881549,2020,7,19,5205,86,590.0,11.0,-0.586,-0.281,-0.223,-0.6709999999999999,-0.534,0.226,-0.265
1352,25,Boston,MA,Massachusetts,25,803907,2020,7,19,20601,46,2563.0,5.33,-0.374,-0.163,0.446,-0.609,-0.441,0.131,-0.14800000000000002
1553,28,Denver,CO,Colorado,8,727211,2020,7,19,8371,51,1151.0,9.21,-0.267,-0.0486,0.386,-0.479,-0.374,0.0957,-0.109
1754,38,Miami,FL,Florida,12,2716940,2020,7,19,84237,3212,3100.0,104.0,-0.321,-0.16399999999999998,-0.503,-0.5489999999999999,-0.34299999999999997,0.151,-0.18600000000000003
1955,48,Honolulu,HI,Hawaii,15,974563,2020,7,19,1065,25,109.0,2.08,-0.287,-0.159,-0.237,-0.5529999999999999,-0.313,0.12,-0.14300000000000002
145,1,Los Angeles,CA,California,6,10039107,2020,7,18,153041,2722,1524.0,32.4,-0.32,-0.106,-0.0714,-0.40399999999999997,-0.359,0.136,-0.16399999999999998
346,2,New York City,NY,New York,36,8336817,2020,7,18,225799,385,2708.0,4.14,-0.302,-0.0727,0.758,-0.43700000000000006,-0.415,0.12300000000000001,-0.14
547,7,Dallas,TX,Texas,48,2635516,2020,7,18,40222,1031,1526.0,41.2,-0.203,-0.0786,0.0329,-0.331,-0.353,0.111,-0.132
748,9,Seattle,WA,Washington,53,2252782,2020,7,18,12993,184,577.0,7.74,-0.276,-0.10099999999999999,0.879,-0.48700000000000004,-0.45399999999999996,0.14400000000000002,-0.16399999999999998
949,13,Detroit,MI,Michigan,26,1749343,2020,7,18,25075,136,1433.0,9.42,-0.08,-0.0386,,-0.303,-0.33,0.0657,-0.0697
1150,21,San Francisco,CA,California,6,881549,2020,7,18,5119,141,581.0,11.2,-0.584,-0.27699999999999997,-0.2,-0.669,-0.534,0.226,-0.265
1351,25,Boston,MA,Massachusetts,25,803907,2020,7,18,20555,56,2557.0,5.03,-0.373,-0.156,0.46299999999999997,-0.607,-0.44,0.131,-0.14800000000000002
1552,28,Denver,CO,Colorado,8,727211,2020,7,18,8320,66,1144.0,9.59,-0.27,-0.0471,0.366,-0.479,-0.373,0.0957,-0.109
1753,38,Miami,FL,Florida,12,2716940,2020,7,18,81025,3159,2982.0,106.0,-0.32,-0.161,-0.503,-0.5489999999999999,-0.34299999999999997,0.153,-0.18899999999999997
1954,48,Honolulu,HI,Hawaii,15,974563,2020,7,18,1040,15,107.0,1.98,-0.294,-0.161,-0.237,-0.5529999999999999,-0.309,0.12,-0.14300000000000002
144,1,Los Angeles,CA,California,6,10039107,2020,7,17,150319,2851,1497.0,32.7,-0.319,-0.10400000000000001,-0.0786,-0.40399999999999997,-0.35600000000000004,0.136,-0.16399999999999998
345,2,New York City,NY,New York,36,8336817,2020,7,17,225414,369,2704.0,4.0,-0.304,-0.0641,0.664,-0.442,-0.415,0.127,-0.146
546,7,Dallas,TX,Texas,48,2635516,2020,7,17,39191,1195,1487.0,41.6,-0.204,-0.0786,0.0271,-0.33299999999999996,-0.353,0.113,-0.134
747,9,Seattle,WA,Washington,53,2252782,2020,7,17,12809,215,569.0,7.45,-0.27899999999999997,-0.106,0.809,-0.491,-0.456,0.147,-0.16899999999999998
948,13,Detroit,MI,Michigan,26,1749343,2020,7,17,24939,155,1426.0,9.02,-0.0757,-0.0343,,-0.299,-0.327,0.0657,-0.0697
1149,21,San Francisco,CA,California,6,881549,2020,7,17,4978,115,565.0,10.7,-0.584,-0.276,-0.19,-0.6659999999999999,-0.534,0.226,-0.265
1350,25,Boston,MA,Massachusetts,25,803907,2020,7,17,20499,54,2550.0,4.82,-0.373,-0.153,0.441,-0.609,-0.439,0.134,-0.153
1551,28,Denver,CO,Colorado,8,727211,2020,7,17,8254,90,1135.0,9.72,-0.27,-0.0429,0.361,-0.47700000000000004,-0.373,0.0957,-0.109
1752,38,Miami,FL,Florida,12,2716940,2020,7,17,77866,2442,2866.0,103.0,-0.317,-0.156,-0.49,-0.546,-0.33899999999999997,0.15,-0.184
1953,48,Honolulu,HI,Hawaii,15,974563,2020,7,17,1025,23,105.0,2.32,-0.299,-0.16,-0.24600000000000002,-0.5489999999999999,-0.307,0.121,-0.145
143,1,Los Angeles,CA,California,6,10039107,2020,7,16,147468,4459,1469.0,32.3,-0.317,-0.10099999999999999,-0.0829,-0.40299999999999997,-0.354,0.136,-0.16399999999999998
344,2,New York City,NY,New York,36,8336817,2020,7,16,225045,383,2699.0,3.98,-0.32899999999999996,-0.0875,0.57,-0.452,-0.42100000000000004,0.134,-0.153
545,7,Dallas,TX,Texas,48,2635516,2020,7,16,37996,1027,1442.0,41.4,-0.204,-0.0786,0.0357,-0.33299999999999996,-0.353,0.113,-0.134
746,9,Seattle,WA,Washington,53,2252782,2020,7,16,12594,239,559.0,7.01,-0.27699999999999997,-0.10400000000000001,0.867,-0.49,-0.45399999999999996,0.147,-0.16899999999999998
947,13,Detroit,MI,Michigan,26,1749343,2020,7,16,24784,235,1417.0,8.65,-0.0829,-0.0443,,-0.31,-0.32899999999999996,0.07,-0.0738
1148,21,San Francisco,CA,California,6,881549,2020,7,16,4863,164,552.0,11.6,-0.586,-0.27399999999999997,-0.193,-0.664,-0.534,0.226,-0.265
1349,25,Boston,MA,Massachusetts,25,803907,2020,7,16,20445,34,2543.0,4.85,-0.374,-0.15,0.441,-0.609,-0.439,0.136,-0.154
1550,28,Denver,CO,Colorado,8,727211,2020,7,16,8164,66,1123.0,10.1,-0.27,-0.04,0.354,-0.479,-0.374,0.0957,-0.109
1751,38,Miami,FL,Florida,12,2716940,2020,7,16,75424,3108,2776.0,102.0,-0.319,-0.156,-0.486,-0.5429999999999999,-0.33899999999999997,0.149,-0.182
1952,48,Honolulu,HI,Hawaii,15,974563,2020,7,16,1002,16,103.0,2.35,-0.3,-0.159,-0.25,-0.546,-0.306,0.121,-0.145
142,1,Los Angeles,CA,California,6,10039107,2020,7,15,143009,2702,1425.0,28.5,-0.313,-0.0986,-0.0829,-0.4,-0.353,0.136,-0.16399999999999998
343,2,New York City,NY,New York,36,8336817,2020,7,15,224662,369,2695.0,3.8,-0.33399999999999996,-0.0852,0.575,-0.451,-0.42100000000000004,0.134,-0.153
544,7,Dallas,TX,Texas,48,2635516,2020,7,15,36969,1055,1403.0,42.3,-0.204,-0.0771,0.05,-0.331,-0.353,0.113,-0.134
745,9,Seattle,WA,Washington,53,2252782,2020,7,15,12355,109,548.0,6.56,-0.28,-0.107,0.8390000000000001,-0.49,-0.45399999999999996,0.149,-0.17
946,13,Detroit,MI,Michigan,26,1749343,2020,7,15,24549,255,1403.0,7.58,-0.0757,-0.0357,,-0.3,-0.32899999999999996,0.0671,-0.0709
1147,21,San Francisco,CA,California,6,881549,2020,7,15,4699,56,533.0,10.1,-0.586,-0.271,-0.17600000000000002,-0.6609999999999999,-0.534,0.22399999999999998,-0.263
1348,25,Boston,MA,Massachusetts,25,803907,2020,7,15,20411,25,2539.0,5.17,-0.379,-0.151,0.446,-0.61,-0.44,0.13699999999999998,-0.155
1549,28,Denver,CO,Colorado,8,727211,2020,7,15,8098,87,1114.0,10.5,-0.27,-0.0343,0.35600000000000004,-0.47700000000000004,-0.373,0.0957,-0.109
1750,38,Miami,FL,Florida,12,2716940,2020,7,15,72316,2514,2662.0,96.4,-0.319,-0.154,-0.484,-0.54,-0.337,0.149,-0.182
1951,48,Honolulu,HI,Hawaii,15,974563,2020,7,15,986,26,101.0,2.61,-0.301,-0.156,-0.257,-0.544,-0.306,0.12300000000000001,-0.147
141,1,Los Angeles,CA,California,6,10039107,2020,7,14,140307,4178,1398.0,28.1,-0.311,-0.0971,-0.08,-0.397,-0.35100000000000003,0.134,-0.162
342,2,New York City,NY,New York,36,8336817,2020,7,14,224293,316,2690.0,3.66,-0.34299999999999997,-0.0862,0.526,-0.45299999999999996,-0.423,0.13699999999999998,-0.156
543,7,Dallas,TX,Texas,48,2635516,2020,7,14,35914,1000,1363.0,42.2,-0.20600000000000002,-0.0786,0.0643,-0.33,-0.353,0.113,-0.134
744,9,Seattle,WA,Washington,53,2252782,2020,7,14,12246,145,544.0,6.58,-0.28300000000000003,-0.11,0.7809999999999999,-0.49,-0.45399999999999996,0.15,-0.172
945,13,Detroit,MI,Michigan,26,1749343,2020,7,14,24294,194,1389.0,6.82,-0.0786,-0.0414,,-0.299,-0.33,0.0686,-0.0725
1146,21,San Francisco,CA,California,6,881549,2020,7,14,4643,50,527.0,10.0,-0.586,-0.27,-0.166,-0.66,-0.534,0.22399999999999998,-0.263
1347,25,Boston,MA,Massachusetts,25,803907,2020,7,14,20386,44,2536.0,6.01,-0.384,-0.151,0.426,-0.611,-0.441,0.14,-0.159
1548,28,Denver,CO,Colorado,8,727211,2020,7,14,8011,59,1102.0,10.5,-0.271,-0.03,0.35100000000000003,-0.474,-0.374,0.0957,-0.109
1749,38,Miami,FL,Florida,12,2716940,2020,7,14,69802,2090,2569.0,98.6,-0.317,-0.153,-0.48,-0.536,-0.336,0.147,-0.18100000000000002
1950,48,Honolulu,HI,Hawaii,15,974563,2020,7,14,960,18,98.5,2.52,-0.304,-0.153,-0.261,-0.5429999999999999,-0.307,0.12300000000000001,-0.147
140,1,Los Angeles,CA,California,6,10039107,2020,7,13,136129,2580,1356.0,27.8,-0.31,-0.0957,-0.0786,-0.39299999999999996,-0.35100000000000003,0.134,-0.162
341,2,New York City,NY,New York,36,8336817,2020,7,13,223977,252,2687.0,3.59,-0.348,-0.0852,0.489,-0.45399999999999996,-0.425,0.138,-0.157
542,7,Dallas,TX,Texas,48,2635516,2020,7,13,34914,1114,1325.0,42.6,-0.207,-0.0786,0.0671,-0.327,-0.354,0.114,-0.136
743,9,Seattle,WA,Washington,53,2252782,2020,7,13,12101,154,537.0,6.08,-0.287,-0.113,0.6829999999999999,-0.491,-0.456,0.151,-0.17300000000000001
944,13,Detroit,MI,Michigan,26,1749343,2020,7,13,24100,80,1378.0,6.67,-0.0814,-0.0457,,-0.299,-0.33299999999999996,0.07,-0.0739
1145,21,San Francisco,CA,California,6,881549,2020,7,13,4593,68,521.0,9.69,-0.586,-0.26899999999999996,-0.157,-0.659,-0.536,0.22399999999999998,-0.263
1346,25,Boston,MA,Massachusetts,25,803907,2020,7,13,20342,41,2530.0,5.83,-0.381,-0.147,0.473,-0.609,-0.44299999999999995,0.139,-0.157
1547,28,Denver,CO,Colorado,8,727211,2020,7,13,7952,50,1093.0,11.0,-0.271,-0.0243,0.371,-0.469,-0.374,0.0957,-0.109
1748,38,Miami,FL,Florida,12,2716940,2020,7,13,67712,3269,2492.0,98.4,-0.313,-0.149,-0.47700000000000004,-0.531,-0.33399999999999996,0.147,-0.18100000000000002
1949,48,Honolulu,HI,Hawaii,15,974563,2020,7,13,942,19,96.7,2.81,-0.304,-0.147,-0.261,-0.537,-0.306,0.121,-0.145
139,1,Los Angeles,CA,California,6,10039107,2020,7,12,133549,3307,1330.0,26.4,-0.311,-0.0957,-0.0757,-0.391,-0.353,0.134,-0.162
340,2,New York City,NY,New York,36,8336817,2020,7,12,223725,343,2684.0,3.58,-0.358,-0.0981,0.436,-0.45899999999999996,-0.428,0.14,-0.159
541,7,Dallas,TX,Texas,48,2635516,2020,7,12,33800,1174,1282.0,43.1,-0.207,-0.0786,0.0643,-0.327,-0.359,0.11699999999999999,-0.139
742,9,Seattle,WA,Washington,53,2252782,2020,7,12,11947,174,530.0,5.9,-0.289,-0.113,0.6559999999999999,-0.49,-0.45899999999999996,0.151,-0.17300000000000001
943,13,Detroit,MI,Michigan,26,1749343,2020,7,12,24020,98,1373.0,6.65,-0.0843,-0.0486,,-0.299,-0.33899999999999997,0.0714,-0.0756
1144,21,San Francisco,CA,California,6,881549,2020,7,12,4525,96,513.0,10.7,-0.583,-0.263,-0.141,-0.657,-0.537,0.221,-0.26
1345,25,Boston,MA,Massachusetts,25,803907,2020,7,12,20301,29,2525.0,5.62,-0.379,-0.14400000000000002,0.509,-0.606,-0.446,0.13699999999999998,-0.156
1546,28,Denver,CO,Colorado,8,727211,2020,7,12,7902,70,1087.0,11.0,-0.27,-0.0229,0.38,-0.467,-0.377,0.0957,-0.109
1747,38,Miami,FL,Florida,12,2716940,2020,7,12,64443,3576,2372.0,91.7,-0.31,-0.149,-0.48700000000000004,-0.531,-0.33399999999999996,0.147,-0.18100000000000002
1948,48,Honolulu,HI,Hawaii,15,974563,2020,7,12,923,18,94.7,2.62,-0.3,-0.14,-0.253,-0.534,-0.311,0.121,-0.145
138,1,Los Angeles,CA,California,6,10039107,2020,7,11,130242,2884,1297.0,23.8,-0.311,-0.1,-0.0757,-0.389,-0.349,0.134,-0.162
339,2,New York City,NY,New York,36,8336817,2020,7,11,223382,304,2679.0,3.4,-0.36700000000000005,-0.105,0.374,-0.465,-0.426,0.14400000000000002,-0.16699999999999998
540,7,Dallas,TX,Texas,48,2635516,2020,7,11,32626,1101,1238.0,42.5,-0.21100000000000002,-0.0814,0.0743,-0.327,-0.354,0.11699999999999999,-0.139
