,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,concat
1403,25,Boston,MA,Massachusetts,25,803907,2020,9,8,22788,32,2835.0,-13.6,-0.28600000000000003,-0.11699999999999999,.63,-0.561,-0.44,0.10400000000000001,-0.115,98
1604,28,Denver,CO,Colorado,8,727211,2020,9,8,11579,22,1592.0,5.34,-0.249,-0.03,.531,-0.43700000000000006,-0.397,0.0943,-0.10400000000000001,98
1805,38,Miami,FL,Florida,12,2716940,2020,9,8,162025,389,5964.0,15.6,-0.267,-0.147,-.343,-0.489,-0.34600000000000003,0.111,-0.133,98
2006,48,Honolulu,HI,Hawaii,15,974563,2020,9,8,9114,114,935.0,18.6,-0.41700000000000004,-0.156,-.521,-0.61,-0.426,0.17300000000000001,-0.212,98
196,1,Los Angeles,CA,California,6,10039107,2020,9,7,248821,487,2479.0,10.0,-0.28600000000000003,-0.10099999999999999,.00429,-0.436,-0.42,0.127,-0.151,97
397,2,New York City,NY,New York,36,8336817,2020,9,7,240919,208,2890.0,3.39,-0.22899999999999998,-0.0677,.869,-0.40700000000000003,-0.447,0.107,-0.11699999999999999,97
598,7,Dallas,TX,Texas,48,2635516,2020,9,7,76858,0,2916.0,12.4,-0.146,-0.07,.186,-0.344,-0.40399999999999997,0.1,-0.114,97
799,9,Seattle,WA,Washington,53,2252782,2020,9,7,20339,56,903.0,4.15,-0.231,-0.0886,1.02,-0.49700000000000005,-0.499,0.13,-0.14400000000000002,97
1000,13,Detroit,MI,Michigan,26,1749343,2020,9,7,32303,320,1847.0,8.55,-0.0743,-0.0371,.,-0.32899999999999996,-0.39,0.0643,-0.0687,97
1201,21,San Francisco,CA,California,6,881549,2020,9,7,9982,64,1132.0,7.86,-0.527,-0.257,-.00143,-0.639,-0.574,0.2,-0.23199999999999998,97
1402,25,Boston,MA,Massachusetts,25,803907,2020,9,7,22756,59,2831.0,-12.7,-0.28,-0.109,.717,-0.5710000000000001,-0.467,0.109,-0.12,97
1603,28,Denver,CO,Colorado,8,727211,2020,9,7,11557,57,1589.0,5.74,-0.231,-0.0129,.663,-0.439,-0.43,0.0929,-0.10400000000000001,97
1804,38,Miami,FL,Florida,12,2716940,2020,9,7,161636,274,5949.0,24.9,-0.266,-0.141,-.317,-0.501,-0.387,0.12,-0.14300000000000002,97
2005,48,Honolulu,HI,Hawaii,15,974563,2020,9,7,9000,89,923.0,19.2,-0.41700000000000004,-0.154,-.51,-0.623,-0.473,0.18899999999999997,-0.231,97
195,1,Los Angeles,CA,California,6,10039107,2020,9,6,248334,792,2474.0,10.8,-0.284,-0.10400000000000001,-.00857,-0.41700000000000004,-0.373,0.11699999999999999,-0.14,96
396,2,New York City,NY,New York,36,8336817,2020,9,6,240711,295,2887.0,3.49,-0.22399999999999998,-0.0608,.799,-0.39,-0.41700000000000004,0.102,-0.11199999999999999,96
597,7,Dallas,TX,Texas,48,2635516,2020,9,6,76858,359,2916.0,17.2,-0.147,-0.0743,.153,-0.33,-0.36,0.0886,-0.1,96
798,9,Seattle,WA,Washington,53,2252782,2020,9,6,20283,99,900.0,4.5,-0.23,-0.0914,.917,-0.49,-0.467,0.127,-0.14,96
999,13,Detroit,MI,Michigan,26,1749343,2020,9,6,31983,0,1828.0,6.57,-0.0486,-0.0343,.,-0.314,-0.34299999999999997,0.0529,-0.0552,96
1200,21,San Francisco,CA,California,6,881549,2020,9,6,9918,76,1125.0,7.89,-0.537,-0.261,-.0971,-0.633,-0.556,0.204,-0.237,96
1401,25,Boston,MA,Massachusetts,25,803907,2020,9,6,22697,74,2823.0,-12.5,-0.276,-0.106,.637,-0.561,-0.439,0.10300000000000001,-0.113,96
1602,28,Denver,CO,Colorado,8,727211,2020,9,6,11500,21,1581.0,5.4,-0.22899999999999998,-0.0171,.666,-0.434,-0.389,0.0857,-0.0958,96
1803,38,Miami,FL,Florida,12,2716940,2020,9,6,161362,345,5939.0,25.3,-0.264,-0.14400000000000002,-.337,-0.491,-0.344,0.113,-0.134,96
2004,48,Honolulu,HI,Hawaii,15,974563,2020,9,6,8911,146,914.0,19.5,-0.414,-0.156,-.52,-0.607,-0.424,0.17300000000000001,-0.212,96
194,1,Los Angeles,CA,California,6,10039107,2020,9,5,247542,1135,2466.0,11.1,-0.27699999999999997,-0.10099999999999999,.00571,-0.409,-0.36700000000000005,0.11699999999999999,-0.14,95
395,2,New York City,NY,New York,36,8336817,2020,9,5,240416,277,2884.0,3.48,-0.22399999999999998,-0.0622,.817,-0.38799999999999996,-0.415,0.102,-0.11199999999999999,95
596,7,Dallas,TX,Texas,48,2635516,2020,9,5,76499,418,2903.0,15.3,-0.151,-0.0771,.107,-0.33,-0.35600000000000004,0.0929,-0.109,95
797,9,Seattle,WA,Washington,53,2252782,2020,9,5,20184,92,896.0,4.34,-0.231,-0.0929,.896,-0.489,-0.46299999999999997,0.129,-0.14300000000000002,95
998,13,Detroit,MI,Michigan,26,1749343,2020,9,5,31983,133,1828.0,7.33,-0.0471,-0.0371,.,-0.307,-0.336,0.0543,-0.0581,95
1199,21,San Francisco,CA,California,6,881549,2020,9,5,9842,84,1116.0,7.94,-0.551,-0.27,-.171,-0.644,-0.5529999999999999,0.20600000000000002,-0.24,95
1400,25,Boston,MA,Massachusetts,25,803907,2020,9,5,22623,94,2814.0,-12.9,-0.276,-0.106,.649,-0.56,-0.434,0.10300000000000001,-0.113,95
1601,28,Denver,CO,Colorado,8,727211,2020,9,5,11479,62,1578.0,5.56,-0.22899999999999998,-0.0157,.689,-0.431,-0.38299999999999995,0.0871,-0.0987,95
1802,38,Miami,FL,Florida,12,2716940,2020,9,5,161017,549,5926.0,26.2,-0.266,-0.141,-.344,-0.493,-0.341,0.114,-0.13699999999999998,95
2003,48,Honolulu,HI,Hawaii,15,974563,2020,9,5,8765,190,899.0,19.9,-0.41700000000000004,-0.163,-.524,-0.607,-0.42100000000000004,0.174,-0.215,95
193,1,Los Angeles,CA,California,6,10039107,2020,9,4,246407,1408,2454.0,11.3,-0.27399999999999997,-0.10300000000000001,.0186,-0.40299999999999997,-0.36,0.11699999999999999,-0.14,94
394,2,New York City,NY,New York,36,8336817,2020,9,4,240139,324,2880.0,3.48,-0.23600000000000002,-0.0701,.697,-0.39899999999999997,-0.41700000000000004,0.109,-0.12300000000000001,94
595,7,Dallas,TX,Texas,48,2635516,2020,9,4,76081,446,2887.0,17.3,-0.151,-0.0771,.103,-0.327,-0.349,0.0943,-0.111,94
796,9,Seattle,WA,Washington,53,2252782,2020,9,4,20092,158,892.0,4.52,-0.231,-0.0943,.9,-0.489,-0.45899999999999996,0.13,-0.146,94
997,13,Detroit,MI,Michigan,26,1749343,2020,9,4,31850,218,1821.0,7.1,-0.0457,-0.0386,.,-0.303,-0.326,0.0543,-0.0581,94
1198,21,San Francisco,CA,California,6,881549,2020,9,4,9758,59,1107.0,8.75,-0.5589999999999999,-0.273,-.216,-0.65,-0.551,0.21,-0.247,94
1399,25,Boston,MA,Massachusetts,25,803907,2020,9,4,22529,-64,2802.0,-13.0,-0.29,-0.11900000000000001,.513,-0.57,-0.43700000000000006,0.11,-0.126,94
1600,28,Denver,CO,Colorado,8,727211,2020,9,4,11417,51,1570.0,5.3,-0.22899999999999998,-0.02,.696,-0.436,-0.376,0.0886,-0.10099999999999999,94
1801,38,Miami,FL,Florida,12,2716940,2020,9,4,160468,491,5906.0,26.6,-0.26899999999999996,-0.14300000000000002,-.347,-0.494,-0.336,0.11599999999999999,-0.14,94
2002,48,Honolulu,HI,Hawaii,15,974563,2020,9,4,8575,236,880.0,20.9,-0.42100000000000004,-0.17600000000000002,-.529,-0.611,-0.42,0.17600000000000002,-0.217,94
192,1,Los Angeles,CA,California,6,10039107,2020,9,3,244999,1064,2440.0,11.4,-0.27899999999999997,-0.109,.0171,-0.40399999999999997,-0.359,0.11900000000000001,-0.141,93
393,2,New York City,NY,New York,36,8336817,2020,9,3,239815,303,2877.0,3.39,-0.244,-0.0783,.664,-0.402,-0.41700000000000004,0.111,-0.126,93
594,7,Dallas,TX,Texas,48,2635516,2020,9,3,75635,0,2870.0,16.3,-0.156,-0.0814,.1,-0.33,-0.34700000000000003,0.0971,-0.114,93
795,9,Seattle,WA,Washington,53,2252782,2020,9,3,19934,96,885.0,4.68,-0.23600000000000002,-0.0986,.907,-0.493,-0.456,0.13,-0.146,93
996,13,Detroit,MI,Michigan,26,1749343,2020,9,3,31632,124,1808.0,6.43,-0.0629,-0.0543,.,-0.32,-0.326,0.06,-0.0636,93
1197,21,San Francisco,CA,California,6,881549,2020,9,3,9699,79,1100.0,8.86,-0.564,-0.281,-.24,-0.653,-0.551,0.21600000000000003,-0.253,93
1398,25,Boston,MA,Massachusetts,25,803907,2020,9,3,22593,85,2810.0,-9.97,-0.29600000000000004,-0.126,.514,-0.574,-0.436,0.113,-0.129,93
1599,28,Denver,CO,Colorado,8,727211,2020,9,3,11366,27,1563.0,5.68,-0.233,-0.0286,.661,-0.446,-0.373,0.0914,-0.10400000000000001,93
1800,38,Miami,FL,Florida,12,2716940,2020,9,3,159977,578,5888.0,27.5,-0.271,-0.146,-.349,-0.499,-0.33399999999999996,0.11699999999999999,-0.141,93
2001,48,Honolulu,HI,Hawaii,15,974563,2020,9,3,8339,190,856.0,20.9,-0.42700000000000005,-0.18600000000000003,-.53,-0.614,-0.414,0.17600000000000002,-0.217,93
191,1,Los Angeles,CA,California,6,10039107,2020,9,2,243935,1414,2430.0,12.2,-0.284,-0.114,.0157,-0.40700000000000003,-0.359,0.12,-0.142,92
392,2,New York City,NY,New York,36,8336817,2020,9,2,239512,266,2873.0,3.4,-0.252,-0.0871,.651,-0.406,-0.41700000000000004,0.11199999999999999,-0.127,92
593,7,Dallas,TX,Texas,48,2635516,2020,9,2,75635,367,2870.0,16.3,-0.16,-0.0871,.121,-0.331,-0.34600000000000003,0.0986,-0.11599999999999999,92
794,9,Seattle,WA,Washington,53,2252782,2020,9,2,19838,108,881.0,4.88,-0.24,-0.10300000000000001,.909,-0.49700000000000005,-0.456,0.13,-0.146,92
995,13,Detroit,MI,Michigan,26,1749343,2020,9,2,31508,126,1801.0,7.25,-0.0729,-0.0657,.,-0.327,-0.326,0.0629,-0.0665,92
1196,21,San Francisco,CA,California,6,881549,2020,9,2,9620,73,1091.0,9.03,-0.5660000000000001,-0.284,-.237,-0.6559999999999999,-0.55,0.217,-0.254,92
1397,25,Boston,MA,Massachusetts,25,803907,2020,9,2,22508,-1040,2800.0,-9.88,-0.307,-0.141,.469,-0.581,-0.436,0.11699999999999999,-0.133,92
1598,28,Denver,CO,Colorado,8,727211,2020,9,2,11339,32,1559.0,6.25,-0.239,-0.0371,.646,-0.45299999999999996,-0.371,0.0929,-0.105,92
1799,38,Miami,FL,Florida,12,2716940,2020,9,2,159399,341,5867.0,27.7,-0.276,-0.15,-.351,-0.503,-0.33399999999999996,0.11900000000000001,-0.14300000000000002,92
2000,48,Honolulu,HI,Hawaii,15,974563,2020,9,2,8149,301,836.0,22.3,-0.433,-0.19899999999999998,-.537,-0.62,-0.413,0.179,-0.22,92
190,1,Los Angeles,CA,California,6,10039107,2020,9,1,242521,753,2416.0,12.4,-0.287,-0.11699999999999999,.00857,-0.409,-0.359,0.121,-0.14400000000000002,91
391,2,New York City,NY,New York,36,8336817,2020,9,1,239246,308,2870.0,3.4,-0.251,-0.0865,.705,-0.406,-0.41600000000000004,0.111,-0.125,91
592,7,Dallas,TX,Texas,48,2635516,2020,9,1,75268,692,2856.0,17.5,-0.163,-0.0914,.156,-0.326,-0.341,0.0957,-0.11199999999999999,91
793,9,Seattle,WA,Washington,53,2252782,2020,9,1,19730,46,876.0,5.29,-0.243,-0.107,.897,-0.499,-0.456,0.13,-0.146,91
994,13,Detroit,MI,Michigan,26,1749343,2020,9,1,31382,126,1794.0,8.36,-0.0829,-0.0729,.,-0.33299999999999996,-0.326,0.0657,-0.0697,91
1195,21,San Francisco,CA,California,6,881549,2020,9,1,9547,50,1083.0,9.12,-0.57,-0.29,-.254,-0.659,-0.55,0.22,-0.257,91
1396,25,Boston,MA,Massachusetts,25,803907,2020,9,1,23552,80,2930.0,10.3,-0.3,-0.13699999999999998,.564,-0.58,-0.433,0.114,-0.13,91
1597,28,Denver,CO,Colorado,8,727211,2020,9,1,11307,42,1555.0,5.28,-0.244,-0.0429,.599,-0.457,-0.371,0.0943,-0.107,91
1798,38,Miami,FL,Florida,12,2716940,2020,9,1,159058,2149,5854.0,29.8,-0.27899999999999997,-0.153,-.36,-0.503,-0.33299999999999996,0.12,-0.14400000000000002,91
1999,48,Honolulu,HI,Hawaii,15,974563,2020,9,1,7848,157,805.0,21.5,-0.414,-0.193,-.539,-0.619,-0.40399999999999997,0.17300000000000001,-0.214,91
189,1,Los Angeles,CA,California,6,10039107,2020,8,31,241768,1019,2408.0,12.6,-0.29100000000000004,-0.121,0,-0.41100000000000003,-0.359,0.121,-0.14400000000000002,831
390,2,New York City,NY,New York,36,8336817,2020,8,31,238938,261,2866.0,3.27,-0.259,-0.0945,.69,-0.408,-0.41700000000000004,0.111,-0.125,831
591,7,Dallas,TX,Texas,48,2635516,2020,8,31,74576,891,2830.0,15.8,-0.163,-0.0914,.191,-0.321,-0.34,0.0943,-0.111,831
792,9,Seattle,WA,Washington,53,2252782,2020,8,31,19684,111,874.0,5.33,-0.247,-0.114,.881,-0.501,-0.456,0.131,-0.147,831
993,13,Detroit,MI,Michigan,26,1749343,2020,8,31,31256,78,1787.0,8.7,-0.09,-0.0771,.,-0.33299999999999996,-0.326,0.0657,-0.0697,831
1194,21,San Francisco,CA,California,6,881549,2020,8,31,9497,66,1077.0,9.04,-0.574,-0.293,-.26,-0.6609999999999999,-0.55,0.221,-0.259,831
1395,25,Boston,MA,Massachusetts,25,803907,2020,8,31,23472,69,2920.0,10.1,-0.314,-0.151,.543,-0.586,-0.434,0.11699999999999999,-0.132,831
1596,28,Denver,CO,Colorado,8,727211,2020,8,31,11265,40,1549.0,6.56,-0.253,-0.0486,.564,-0.46,-0.373,0.0957,-0.10800000000000001,831
1797,38,Miami,FL,Florida,12,2716940,2020,8,31,156909,351,5775.0,22.6,-0.284,-0.159,-.369,-0.506,-0.33399999999999996,0.12,-0.14400000000000002,831
1998,48,Honolulu,HI,Hawaii,15,974563,2020,8,31,7691,107,789.0,22.1,-0.406,-0.193,-.541,-0.619,-0.397,0.17,-0.21100000000000002,831
188,1,Los Angeles,CA,California,6,10039107,2020,8,30,240749,993,2398.0,12.9,-0.294,-0.12300000000000001,-.0114,-0.413,-0.359,0.121,-0.14400000000000002,830
389,2,New York City,NY,New York,36,8336817,2020,8,30,238677,292,2863.0,3.18,-0.265,-0.0969,.679,-0.41100000000000003,-0.41700000000000004,0.11199999999999999,-0.126,830
590,7,Dallas,TX,Texas,48,2635516,2020,8,30,73685,0,2796.0,12.0,-0.16699999999999998,-0.0957,.187,-0.32299999999999995,-0.34,0.0957,-0.113,830
791,9,Seattle,WA,Washington,53,2252782,2020,8,30,19573,74,869.0,5.56,-0.251,-0.11599999999999999,.883,-0.501,-0.456,0.131,-0.147,830
992,13,Detroit,MI,Michigan,26,1749343,2020,8,30,31178,92,1782.0,9.31,-0.0986,-0.08,.,-0.33299999999999996,-0.326,0.0657,-0.0697,830
1193,21,San Francisco,CA,California,6,881549,2020,8,30,9431,79,1070.0,9.03,-0.5760000000000001,-0.29100000000000004,-.26,-0.664,-0.551,0.221,-0.259,830
1394,25,Boston,MA,Massachusetts,25,803907,2020,8,30,23403,53,2911.0,12.4,-0.321,-0.153,.534,-0.59,-0.434,0.11900000000000001,-0.134,830
1595,28,Denver,CO,Colorado,8,727211,2020,8,30,11225,29,1544.0,6.36,-0.257,-0.0514,.536,-0.46,-0.373,0.0971,-0.11,830
1796,38,Miami,FL,Florida,12,2716940,2020,8,30,156558,521,5762.0,24.0,-0.287,-0.161,-.376,-0.507,-0.33399999999999996,0.121,-0.146,830
1997,48,Honolulu,HI,Hawaii,15,974563,2020,8,30,7584,174,778.0,22.8,-0.39899999999999997,-0.19699999999999998,-.546,-0.617,-0.39,0.16899999999999998,-0.209,830
187,1,Los Angeles,CA,California,6,10039107,2020,8,29,239756,1298,2388.0,12.9,-0.299,-0.124,-.0271,-0.413,-0.359,0.12300000000000001,-0.147,829
388,2,New York City,NY,New York,36,8336817,2020,8,29,238385,278,2859.0,3.17,-0.275,-0.10300000000000001,.602,-0.419,-0.419,0.114,-0.131,829
589,7,Dallas,TX,Texas,48,2635516,2020,8,29,73685,801,2796.0,13.8,-0.16899999999999998,-0.0971,.21,-0.319,-0.34,0.0943,-0.11,829
790,9,Seattle,WA,Washington,53,2252782,2020,8,29,19499,119,866.0,5.77,-0.256,-0.11699999999999999,.883,-0.501,-0.457,0.131,-0.147,829
991,13,Detroit,MI,Michigan,26,1749343,2020,8,29,31086,106,1777.0,9.86,-0.10300000000000001,-0.0829,.,-0.331,-0.326,0.0657,-0.0697,829
1192,21,San Francisco,CA,California,6,881549,2020,8,29,9352,134,1061.0,9.04,-0.579,-0.293,-.269,-0.667,-0.5529999999999999,0.22399999999999998,-0.265,829
1393,25,Boston,MA,Massachusetts,25,803907,2020,8,29,23350,89,2905.0,11.4,-0.34299999999999997,-0.16699999999999998,.433,-0.599,-0.439,0.121,-0.14,829
1594,28,Denver,CO,Colorado,8,727211,2020,8,29,11196,49,1540.0,6.95,-0.26,-0.0543,.506,-0.45899999999999996,-0.374,0.0971,-0.11,829
1795,38,Miami,FL,Florida,12,2716940,2020,8,29,156037,620,5743.0,25.4,-0.29100000000000004,-0.16399999999999998,-.386,-0.507,-0.33399999999999996,0.121,-0.146,829
1996,48,Honolulu,HI,Hawaii,15,974563,2020,8,29,7410,263,760.0,23.5,-0.386,-0.19699999999999998,-.546,-0.617,-0.379,0.166,-0.204,829
186,1,Los Angeles,CA,California,6,10039107,2020,8,28,238458,1472,2375.0,13.4,-0.301,-0.124,-.04,-0.41100000000000003,-0.359,0.12300000000000001,-0.147,828
387,2,New York City,NY,New York,36,8336817,2020,8,28,238107,269,2856.0,3.15,-0.273,-0.10400000000000001,.694,-0.41100000000000003,-0.414,0.109,-0.122,828
588,7,Dallas,TX,Texas,48,2635516,2020,8,28,72884,257,2765.0,15.3,-0.171,-0.0986,.216,-0.313,-0.34,0.0929,-0.107,828
789,9,Seattle,WA,Washington,53,2252782,2020,8,28,19380,184,860.0,5.98,-0.257,-0.11599999999999999,.88,-0.499,-0.456,0.131,-0.147,828
990,13,Detroit,MI,Michigan,26,1749343,2020,8,28,30980,135,1771.0,10.9,-0.107,-0.0871,.,-0.32299999999999995,-0.32899999999999996,0.0643,-0.0672,828
1191,21,San Francisco,CA,California,6,881549,2020,8,28,9218,66,1046.0,8.31,-0.5770000000000001,-0.29,-.253,-0.667,-0.5529999999999999,0.22399999999999998,-0.265,828
1392,25,Boston,MA,Massachusetts,25,803907,2020,8,28,23261,107,2893.0,10.1,-0.34299999999999997,-0.16399999999999998,.519,-0.594,-0.436,0.11699999999999999,-0.132,828
1593,28,Denver,CO,Colorado,8,727211,2020,8,28,11147,70,1533.0,7.03,-0.263,-0.0529,.483,-0.456,-0.376,0.0971,-0.11,828
1794,38,Miami,FL,Florida,12,2716940,2020,8,28,155417,661,5720.0,26.9,-0.293,-0.166,-.393,-0.507,-0.33399999999999996,0.121,-0.146,828
1995,48,Honolulu,HI,Hawaii,15,974563,2020,8,28,7147,232,733.0,23.5,-0.373,-0.196,-.549,-0.611,-0.36700000000000005,0.161,-0.196,828
185,1,Los Angeles,CA,California,6,10039107,2020,8,27,236986,1600,2361.0,13.7,-0.304,-0.126,-.0514,-0.41100000000000003,-0.36,0.124,-0.14800000000000002,827
386,2,New York City,NY,New York,36,8336817,2020,8,27,237838,313,2853.0,3.18,-0.27399999999999997,-0.10300000000000001,.709,-0.41200000000000003,-0.415,0.109,-0.122,827
587,7,Dallas,TX,Texas,48,2635516,2020,8,27,72627,0,2756.0,17.8,-0.174,-0.1,.214,-0.311,-0.341,0.0929,-0.107,827
788,9,Seattle,WA,Washington,53,2252782,2020,8,27,19196,128,852.0,5.48,-0.261,-0.11900000000000001,.783,-0.5,-0.457,0.134,-0.15,827
989,13,Detroit,MI,Michigan,26,1749343,2020,8,27,30845,225,1763.0,9.78,-0.0986,-0.0771,.,-0.307,-0.326,0.0586,-0.0617,827
1190,21,San Francisco,CA,California,6,881549,2020,8,27,9152,89,1038.0,8.72,-0.5770000000000001,-0.28600000000000003,-.241,-0.669,-0.5529999999999999,0.22399999999999998,-0.265,827
1391,25,Boston,MA,Massachusetts,25,803907,2020,8,27,23154,90,2880.0,10.3,-0.34700000000000003,-0.16699999999999998,.506,-0.597,-0.43700000000000006,0.11699999999999999,-0.132,827
1592,28,Denver,CO,Colorado,8,727211,2020,8,27,11077,56,1523.0,6.78,-0.263,-0.0486,.5,-0.45399999999999996,-0.377,0.0957,-0.109,827
1793,38,Miami,FL,Florida,12,2716940,2020,8,27,154756,622,5696.0,29.4,-0.29600000000000004,-0.166,-.403,-0.509,-0.33399999999999996,0.12300000000000001,-0.147,827
1994,48,Honolulu,HI,Hawaii,15,974563,2020,8,27,6915,289,710.0,23.1,-0.359,-0.193,-.551,-0.611,-0.376,0.161,-0.196,827
